CodigoFaculdade;NomeFaculdade;CodigoCurso;NomeCurso;Grau;TotalDesempregados;TotalDiplomados
0110;Universidade dos Açores - Angra do Heroísmo;0198;Engenharia Agrícola;Licenciatura;5;71
0110;Universidade dos Açores - Angra do Heroísmo;0213;Engenharia do Ambiente;Licenciatura;3;157
0110;Universidade dos Açores - Angra do Heroísmo;0347;Engenharia Zootécnica;Licenciatura;6;157
0110;Universidade dos Açores - Angra do Heroísmo;0625;Educação de Infância;Licenciatura;1;262
0110;Universidade dos Açores - Angra do Heroísmo;9103;Engenharia e Gestão do Ambiente;Licenciatura;1;23
0130;Universidade dos Açores - Ponta Delgada;0048;Biologia;Licenciatura;7;218
0130;Universidade dos Açores - Ponta Delgada;0054;Biologia e Geologia (Ensino de);Licenciatura;2;183
0130;Universidade dos Açores - Ponta Delgada;0156;Economia;Licenciatura;1;80
0130;Universidade dos Açores - Ponta Delgada;0383;Física e Química (Ensino de);Licenciatura;2;104
0130;Universidade dos Açores - Ponta Delgada;0453;História;Licenciatura;4;137
0130;Universidade dos Açores - Ponta Delgada;0538;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Ingleses;Licenciatura;1;85
0130;Universidade dos Açores - Ponta Delgada;0561;Matemática e Desenho (Ensino de);Licenciatura;1;
0130;Universidade dos Açores - Ponta Delgada;0759;Sociologia;Licenciatura;4;147
0130;Universidade dos Açores - Ponta Delgada;1044;Biologia Marinha;Licenciatura;3;32
0130;Universidade dos Açores - Ponta Delgada;1200;Estudos Europeus e Política Internacional;Licenciatura;3;24
0130;Universidade dos Açores - Ponta Delgada;5244;Educação;Doutoramento;1;7
0130;Universidade dos Açores - Ponta Delgada;9011;Biologia;Licenciatura;2;34
0130;Universidade dos Açores - Ponta Delgada;9147;Gestão;Licenciatura;1;123
0130;Universidade dos Açores - Ponta Delgada;9238;Serviço Social;Licenciatura;1;42
0130;Universidade dos Açores - Ponta Delgada;9699;Ciências Biológicas e da Saúde;Licenciatura;1;31
0200;Universidade do Algarve;0289;Engenharia Hortofrutícola;Licenciatura;2;
0200;Universidade do Algarve;0537;Línguas e Lit. Modernas, var de Estudos Portugueses e Franceses (ensino de);Licenciatura;1;
0200;Universidade do Algarve;9817;Artes Visuais;Licenciatura;7;33
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0522;Línguas e Literaturas Modernas, variante de Estudos Franceses e Espanhóis;Licenciatura;1;6
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0524;Línguas e Literaturas Modernas, variante de Estudos Franceses e Ingleses;Licenciatura;1;2
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0530;Línguas e Literaturas Modernas, variante de Estudos Portugueses;Licenciatura;11;152
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0534;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Espanhóis;Licenciatura;6;17
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0536;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Franceses;Licenciatura;2;84
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0538;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Ingleses;Licenciatura;10;206
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0695;Psicologia;Licenciatura;31;302
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0756;Património Cultural;Licenciatura;9;102
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0867;Estudos Portugueses;Licenciatura;1;120
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;1529;Línguas e Literaturas Modernas, variante de Estudos Ingleses e Espanhóis;Licenciatura;4;12
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;1659;Línguas e Comunicação;Licenciatura;1;
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;4078;Ciências da Educação;Mestrado;1;72
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;4576;Linguística;Mestrado;1;5
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;4755;Psicologia da Educação;Mestrado;1;39
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;4756;Psicologia;Mestrado;1;50
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;6011;Arqueologia;Mestrado;1;3
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;8369;Património Cultural (Artístico, Histórico e Arqueológico);Licenciatura;2;
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9132;Estudos Artísticos;Licenciatura;9;12
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9219;Psicologia;Licenciatura;9;47
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9787;Património Cultural;Licenciatura;5;18
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9821;Ciências da Educação e da Formação;Licenciatura;12;65
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9825;Ciências Documentais e Editoriais;Licenciatura;3;13
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9834;Línguas e Comunicação;Licenciatura;3;9
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0054;Biologia e Geologia (Ensino de);Licenciatura;2;170
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0057;Biologia Marinha e Pescas;Licenciatura;24;238
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0213;Engenharia do Ambiente;Licenciatura;19;284
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0744;Oceanografia;Licenciatura;1;21
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;1127;Biologia e Geologia;Licenciatura;1;47
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;4015;Aquacultura;Mestrado;1;8
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;4452;Gestão e Conservação da Natureza;Mestrado;1;29
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;4657;Estudos Marinhos e Costeiros;Mestrado;1;39
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;5240;Ecologia;Doutoramento;1;10
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;9013;Biologia Marinha;Licenciatura;6;184
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;9099;Engenharia do Ambiente;Licenciatura;1;30
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;9391;Biologia Marinha;Mestrado;5;77
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;9595;Ciências de Engenharia do Ambiente;Licenciatura;1;10
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0063;Bioquímica;Licenciatura;2;145
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0340;Engenharia de Sistemas e Informática;Licenciatura;1;58
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0381;Física e Química;Licenciatura;3;151
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0479;Informática;Licenciatura;3;72
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0487;Informática - Gestão;Licenciatura;1;35
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0559;Matemática;Licenciatura;7;217
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0705;Química;Licenciatura;6;64
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;5050;Biologia;Doutoramento;1;
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;5720;Química;Doutoramento;1;7
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;8258;Arquitectura Paisagista;Licenciatura;2;
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9003;Agronomia;Licenciatura;5;
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9011;Biologia;Licenciatura;2;
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9013;Biologia Marinha;Licenciatura;3;
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9015;Bioquímica;Licenciatura;6;22
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9016;Biotecnologia;Licenciatura;1;1
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9099;Engenharia do Ambiente;Licenciatura;2;
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9119;Engenharia Informática;Licenciatura;4;38
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9263;Aquacultura e Pescas;Mestrado;1;
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9351;Ciências Biomédicas;Licenciatura;2;25
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9438;Oceanografia;Mestrado;1;
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9612;Estudos Básicos de Ciências Farmacêuticas;Licenciatura;1;
0204;Universidade do Algarve - Faculdade de Economia;0156;Economia;Licenciatura;12;284
0204;Universidade do Algarve - Faculdade de Economia;0441;Gestão de Empresas;Licenciatura;24;237
0204;Universidade do Algarve - Faculdade de Economia;0759;Sociologia;Licenciatura;3;25
0204;Universidade do Algarve - Faculdade de Economia;4061;Ciências Económicas e Empresariais;Mestrado;1;26
0204;Universidade do Algarve - Faculdade de Economia;4431;Gestão Empresarial;Mestrado;2;21
0204;Universidade do Algarve - Faculdade de Economia;4460;Gestão e Desenvolvimento em Turismo;Mestrado;1;8
0204;Universidade do Algarve - Faculdade de Economia;9081;Economia;Licenciatura;23;102
0204;Universidade do Algarve - Faculdade de Economia;9152;Gestão de Empresas;Licenciatura;39;194
0204;Universidade do Algarve - Faculdade de Economia;9240;Sociologia;Licenciatura;10;77
0205;Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;0025;Arquitectura Paisagista;Licenciatura;19;109
0205;Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;0205;Engenharia Agronómica;Licenciatura;18;228
0205;Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;0226;Engenharia Biotecnológica;Licenciatura;9;270
0205;Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;0289;Engenharia Hortofrutícola;Licenciatura;1;
