UO;UO_Nome;Curso;Curso_Nome;Grupo_Grau;Grupo_Grau_Nome;CNAEF_1D;CNAEF_1D_Nome;CNAEF_2D;CNAEF_2D_Nome;CNAEF_3D;CNAEF_3D_Nome;A1984_2004_TD_PE_6M;A2005_TD_PE_6M;A2006_TD_PE_6M;A2007_TD_PE_6M;A2008_TD_PE_6M;A2009_TD_PE_6M;A2010_TD_PE_6M;A2011_TD_PE_6M;A2012_TD_PE_6M;A2013_TD_PE_6M;A2014_TD_PE_6M;A1984_2004_TD_PE_6_12M;A2005_TD_PE_6_12M;A2006_TD_PE_6_12M;A2007_TD_PE_6_12M;A2008_TD_PE_6_12M;A2009_TD_PE_6_12M;A2010_TD_PE_6_12M;A2011_TD_PE_6_12M;A2012_TD_PE_6_12M;A2013_TD_PE_6_12M;A2014_TD_PE_6_12M;A1984_2004_TD_PE_12M;A2005_TD_PE_12M;A2006_TD_PE_12M;A2007_TD_PE_12M;A2008_TD_PE_12M;A2009_TD_PE_12M;A2010_TD_PE_12M;A2011_TD_PE_12M;A2012_TD_PE_12M;A2013_TD_PE_12M;A2014_TD_PE_12M;A1984_2004_TD_NE_6M;A2005_TD_NE_6M;A2006_TD_NE_6M;A2007_TD_NE_6M;A2008_TD_NE_6M;A2009_TD_NE_6M;A2010_TD_NE_6M;A2011_TD_NE_6M;A2012_TD_NE_6M;A2013_TD_NE_6M;A2014_TD_NE_6M;A1984_2004_TD_NE_6_12M;A2005_TD_NE_6_12M;A2006_TD_NE_6_12M;A2007_TD_NE_6_12M;A2008_TD_NE_6_12M;A2009_TD_NE_6_12M;A2010_TD_NE_6_12M;A2011_TD_NE_6_12M;A2012_TD_NE_6_12M;A2013_TD_NE_6_12M;A2014_TD_NE_6_12M;A1984_2004_TD_NE_12M;A2005_TD_NE_12M;A2006_TD_NE_12M;A2007_TD_NE_12M;A2008_TD_NE_12M;A2009_TD_NE_12M;A2010_TD_NE_12M;A2011_TD_NE_12M;A2012_TD_NE_12M;A2013_TD_NE_12M;A2014_TD_NE_12M;Dip_1984_2004;Dip_2005;Dip_2006;Dip_2007;Dip_2008;Dip_2009;Dip_2010;Dip_2011;Dip_2012;Dip_2013;A1984_2004_Total;A2005_Total;A2006_Total;A2007_Total;A2008_Total;A2009_Total;A2010_Total;A2011_Total;A2012_Total;A2013_Total;A2014_Total;A1984_2014_TOTAL
0600;Universidade de Évora;0284;Engenharia Geológica;L;Licenciatura;400;Ciências, Matemática e Informática;440;Ciências Físicas;443;Ciências da Terra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;7;13;9;1;;;;;0;1;0;0;0;0;0;0;0;0;0;1
0600;Universidade de Évora;0292;Engenharia Informática;L;Licenciatura;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;523;Electrónica e Automação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;27;25;26;20;11;1;;;;;1;0;0;1;1;0;0;0;0;0;0;3
0600;Universidade de Évora;0313;Engenharia Mecatrónica;L;Licenciatura;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;523;Electrónica e Automação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;2;;;1;;;;;;;;2;9;19;7;1;;;;;0;2;1;0;2;0;0;0;0;0;0;5
0600;Universidade de Évora;0329;Engenharia dos Recursos Hídricos;L;Licenciatura;800;Serviços;850;Protecção do Ambiente;851;Tecnologia de Protecção do Ambiente;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;1;;1;;;;;;;1;;;;;;;;;;;1;;;;3;;;;;;;78;10;13;26;10;2;;;;;2;1;1;1;4;0;0;0;0;0;0;9
0600;Universidade de Évora;0331;Engenharia Química;L;Licenciatura;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;524;Tecnologia dos Processos Químicos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;5;10;4;;;;;;0;0;1;0;0;0;0;0;0;0;0;1
0600;Universidade de Évora;0347;Engenharia Zootécnica;L;Licenciatura;600;Agricultura;620;Agricultura, Silvicultura e Pescas;621;Produção Agrícola e Animal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;2;2;2;;1;;;;;;6;;2;;;1;;;;;;16;;1;1;;;;;;;;709;37;73;55;41;16;;;;;29;2;5;3;0;2;0;0;0;0;0;41
0600;Universidade de Évora;0360;Filosofia;L;Licenciatura;200;Artes e Humanidades;220;Humanidades;226;Filosofia e Ética;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;1;;;;;;;;2;;;;;;;;;;;2;1;1;1;;;;;;;;50;11;13;18;5;1;;;;;5;1;3;2;0;0;0;0;0;0;0;11
0600;Universidade de Évora;0381;Física e Química;L;Licenciatura;400;Ciências, Matemática e Informática;440;Ciências Físicas;441;Física;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;3;1;;;;0;0;0;1;0;0;0;0;0;0;0;1
0600;Universidade de Évora;0383;Física e Química (Ensino de);L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;2;1;;;;;;;;;;;1;;;;;;;;;7;3;1;2;;;;;;;;410;36;12;13;11;3;;;;;14;5;3;2;0;0;0;0;0;0;0;24
0600;Universidade de Évora;0416;Gestão;L;Licenciatura;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;18;19;1;;;;;;0;0;1;1;0;0;0;0;0;0;0;2
0600;Universidade de Évora;0441;Gestão de Empresas;L;Licenciatura;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;1;;;;;;;;;1;;;;;;;;;;;11;2;;;;;;;;;;737;53;19;3;;;;;;;18;3;1;0;0;0;0;0;0;0;0;22
0600;Universidade de Évora;0453;História;L;Licenciatura;200;Artes e Humanidades;220;Humanidades;225;História e Arqueologia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;1;;;;;;2;;;;;;;;;;;3;;1;;1;;;;;;;76;;1;6;20;1;;;;;7;0;1;1;1;1;0;0;0;0;0;11
0600;Universidade de Évora;0454;História (Ensino de);L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;2;1;;1;;;;;;;;7;1;;;;;;;;;;328;23;9;7;2;;;;;;15;2;0;1;0;0;0;0;0;0;0;18
0600;Universidade de Évora;0459;História, variante de Arqueologia;L;Licenciatura;200;Artes e Humanidades;220;Humanidades;225;História e Arqueologia;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;6;8;6;;1;;;;;0;1;0;1;0;1;0;0;0;0;0;3
0600;Universidade de Évora;0469;História, variante do Património Cultural;L;Licenciatura;200;Artes e Humanidades;220;Humanidades;225;História e Arqueologia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;23;;;;;;;;;;3;0;0;0;0;0;0;0;0;0;0;3
0600;Universidade de Évora;0559;Matemática;L;Licenciatura;400;Ciências, Matemática e Informática;460;Matemática e Estatística;461;Matemática;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;36;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;1
0600;Universidade de Évora;0560;Matemática (Ensino de);L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;1;;;;;;;;;;;;;;;;;;;5;4;;;1;;;;;;;464;23;9;1;5;2;;;;;9;7;0;1;1;0;0;0;0;0;0;18
0600;Universidade de Évora;0565;Matemática Aplicada;L;Licenciatura;400;Ciências, Matemática e Informática;460;Matemática e Estatística;461;Matemática;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;1;;;;;;;;;1;;;;;;;;3;;;1;;;;;;;;119;5;8;3;1;1;;;;;5;1;0;2;0;1;0;0;0;0;0;9
0600;Universidade de Évora;0571;Matemática e Ciências da Computação;L;Licenciatura;400;Ciências, Matemática e Informática;480;Informática;481;Ciências Informáticas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;1;;;;;;;2;;1;1;1;;;;;;6;22;45;28;31;8;;;;;0;2;0;3;1;2;0;0;0;0;0;8
0600;Universidade de Évora;0586;Medicina Veterinária;L;Licenciatura;600;Agricultura;640;Ciências Veterinárias;640;Ciências Veterinárias;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;49;38;29;40;2;1;;;;;2;0;1;0;0;1;0;0;0;0;0;4
0600;Universidade de Évora;0625;Educação de Infância;L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;143;Formação de Educadores de Infância;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;3;;1;1;;;;;2;;;1;2;1;;;;;;7;1;1;2;1;2;2;;;;;136;32;29;43;39;42;34;;;;17;1;1;6;3;4;3;0;0;0;0;35
0600;Universidade de Évora;0630;Português e Francês (Ensino de);L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;;;;;;;;;;2;;;;;;;;;;;9;;;;;;;;;;;490;15;1;;;;;;;;15;1;0;0;0;0;0;0;0;0;0;16
0600;Universidade de Évora;0633;Português e Inglês (Ensino de);L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;;;;;;;;;;1;;1;;;;;;;;;6;1;;;;;;;;;;349;30;7;;;;;;;;11;2;1;0;0;0;0;0;0;0;0;14
0600;Universidade de Évora;0685;Professores do Ensino Primário;B;Bacharelato;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;144;Formação de Professores do Ensino Básico (1.º e 2.º Ciclos);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;133;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;1
0600;Universidade de Évora;0695;Psicologia;L;Licenciatura;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;311;Psicologia;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;3;1;;;;;;;;;;;1;;;;;;2;;;;2;;;;;;;51;36;40;60;39;6;;;;;2;0;0;1;6;3;0;0;0;0;0;12
0600;Universidade de Évora;0705;Química;L;Licenciatura;400;Ciências, Matemática e Informática;440;Ciências Físicas;442;Química;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;1;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;15;16;12;27;9;3;;;;;3;1;1;0;0;0;0;0;0;0;0;5
0600;Universidade de Évora;0707;Ensino Básico - 1.º Ciclo;L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;144;Formação de Professores do Ensino Básico (1.º e 2.º Ciclos);;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;1;1;;;;;;;;;1;;;1;;;1;;;;;5;1;;;1;1;;;;;;147;30;33;20;18;10;13;;;;8;2;1;1;1;1;2;0;0;0;0;16
0600;Universidade de Évora;0759;Sociologia;L;Licenciatura;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;312;Sociologia e Outros Estudos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;1;2;1;;;;;;4;;1;;;1;;;;;;12;2;3;1;3;;;;;;;465;33;39;21;11;3;;;;;24;2;4;2;5;2;0;0;0;0;0;39
0600;Universidade de Évora;0868;Estudos Teatrais;L;Licenciatura;200;Artes e Humanidades;210;Artes;212;Artes do Espectáculo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;4;1;1;1;;;;;;;;;;1;;;;;;;3;;;1;;1;;;;;;21;16;6;17;6;8;;;;;4;1;4;2;2;2;0;0;0;0;0;15
0600;Universidade de Évora;0869;Música;L;Licenciatura;200;Artes e Humanidades;210;Artes;212;Artes do Espectáculo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;21;22;15;17;7;4;;;;;0;0;0;0;0;2;0;0;0;0;0;2
0600;Universidade de Évora;0984;História, ramo de Património Cultural;L;Licenciatura;200;Artes e Humanidades;220;Humanidades;225;História e Arqueologia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;18;24;12;13;10;4;;;;;1;0;2;0;0;0;0;0;0;0;0;3
0600;Universidade de Évora;1052;Artes Visuais;L;Licenciatura;200;Artes e Humanidades;210;Artes;211;Belas-Artes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;1;;;;;;;;;;1;2;2;;;;;;1;;;1;17;16;;;;;0;0;0;1;4;3;0;0;0;0;0;8
0600;Universidade de Évora;1210;Engenharia Biofísica - Ordenamento e Gestão Ambiental;L;Licenciatura;400;Ciências, Matemática e Informática;440;Ciências Físicas;441;Física;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;1;;;;;;;;;;;;1;;;;;;;;;1;1;;;;;;;;;3;19;12;10;;;;;0;0;0;2;2;2;0;0;0;0;0;6
0600;Universidade de Évora;1592;Informática e Gestão;L;Licenciatura;400;Ciências, Matemática e Informática;480;Informática;481;Ciências Informáticas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;3;2;6;;;;;0;0;0;1;0;3;0;0;0;0;0;4
0600;Universidade de Évora;1609;Línguas e Literaturas - Português e Inglês;L;Licenciatura;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;1
0600;Universidade de Évora;1646;Línguas e Literaturas;L;Licenciatura;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;1;1;;;;;;;;33;18;13;3;;;;;0;0;2;1;1;2;0;0;0;0;0;6
0600;Universidade de Évora;1790;Tradução, variante de Inglês e Francês;L;Licenciatura;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;14;13;2;;;;;;0;0;1;0;0;0;0;0;0;0;0;1
0600;Universidade de Évora;1797;Turismo e Desenvolvimento;L;Licenciatura;800;Serviços;810;Serviços Pessoais;812;Turismo e Lazer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;;;;;;0;0;0;1;0;0;0;0;0;0;0;1
0600;Universidade de Évora;2855;Educadores de Infância;L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;143;Formação de Educadores de Infância;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43;14;8;;;;;;;;2;1;0;0;0;0;0;0;0;0;0;3
0600;Universidade de Évora;2857;Professores do 1.º Ciclo do Ensino Básico;L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;144;Formação de Professores do Ensino Básico (1.º e 2.º Ciclos);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;46;17;;;;;;;;;1;1;0;0;0;0;0;0;0;0;0;2
0600;Universidade de Évora;4041;Cartografia Geológica;M;Mestrado;500;Engenharia, Indústrias Transformadoras e Construção;580;Arquitectura e Construção;581;Arquitectura e Urbanismo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;2;;3;;;;;;;1;0;0;0;0;0;0;0;0;0;0;1
0600;Universidade de Évora;4150;Ecologia Humana;M;Mestrado;400;Ciências, Matemática e Informática;420;Ciências da Vida;422;Ciências do Ambiente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;60;5;8;10;4;4;1;;;;2;0;0;0;0;0;0;0;0;0;0;2
0600;Universidade de Évora;4186;Educação;M;Mestrado;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;142;Ciências da Educação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;44;6;9;27;13;25;41;;;;1;0;0;0;0;0;0;0;0;0;0;1
0600;Universidade de Évora;4326;Estudos Históricos Europeus;M;Mestrado;200;Artes e Humanidades;220;Humanidades;225;História e Arqueologia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;7;;2;2;2;2;;;;;0;0;0;1;1;0;0;0;0;0;0;2
0600;Universidade de Évora;4358;Biologia da Conservação;M;Mestrado;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;6;7;5;5;5;;;;0;0;0;0;0;2;2;0;0;0;0;4
0600;Universidade de Évora;4410;Artes Visuais;M;Mestrado;200;Artes e Humanidades;210;Artes;211;Belas-Artes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;1;;;;;;;;;3;7;4;2;;;;0;0;0;1;0;1;1;0;0;0;0;3
0600;Universidade de Évora;4480;Gestão de Empresas;M;Mestrado;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;5;3;12;14;12;7;4;;;;0;1;0;0;0;1;0;0;0;0;0;2
0600;Universidade de Évora;4643;Psicologia do Desenvolvimento Profissional;M;Mestrado;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;311;Psicologia;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;6;1;;2;;;;0;0;0;0;1;0;0;0;0;0;0;1
0600;Universidade de Évora;4683;Museologia;M;Mestrado;200;Artes e Humanidades;220;Humanidades;225;História e Arqueologia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;6;5;5;1;2;1;5;;;;0;0;1;0;0;0;0;0;0;0;0;1
0600;Universidade de Évora;4756;Psicologia;M;Mestrado;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;311;Psicologia;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;3;4;;;;0;0;0;0;1;0;3;0;0;0;0;4
0600;Universidade de Évora;4764;Organização e Sistemas de Informação;M;Mestrado;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;12;2;2;;;;;;;1;0;0;0;0;0;0;0;0;0;0;1
0600;Universidade de Évora;4798;Recuperação do Património Arquitectónico e Paisagístico;M;Mestrado;500;Engenharia, Indústrias Transformadoras e Construção;580;Arquitectura e Construção;581;Arquitectura e Urbanismo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;50;2;9;8;9;9;6;;;;1;1;1;0;0;0;0;0;0;0;0;3
0600;Universidade de Évora;4846;Sociologia;M;Mestrado;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;312;Sociologia e Outros Estudos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;1;;;;;;;;;;1;;;;1;;;;;;;66;15;18;8;11;5;3;;;;2;1;0;0;1;0;1;0;0;0;0;5
0600;Universidade de Évora;4905;Relações Internacionais e Estudos Europeus;M;Mestrado;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;313;Ciência Política e Cidadania;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;1;5;3;;;;;0;0;0;1;1;1;0;0;0;0;0;3
0600;Universidade de Évora;4967;Empreendedorismo e Inovação;M;Mestrado;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;1;;;;0;0;0;0;0;0;1;0;0;0;0;1
0600;Universidade de Évora;5140;Ciências da Educação;D;Doutoramento;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;142;Ciências da Educação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;14;1;3;5;4;2;4;;;;0;0;0;1;0;0;0;0;0;0;0;1
0600;Universidade de Évora;5165;Ciências do Ambiente;D;Doutoramento;400;Ciências, Matemática e Informática;420;Ciências da Vida;422;Ciências do Ambiente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;4;1;;;;;1;;;;1;0;0;0;0;0;0;0;0;0;0;1
0600;Universidade de Évora;5375;Geologia;D;Doutoramento;400;Ciências, Matemática e Informática;440;Ciências Físicas;443;Ciências da Terra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;1;3;1;1;1;1;;;;0;0;0;0;0;1;0;0;0;0;0;1
0600;Universidade de Évora;5390;Gestão de Empresas;D;Doutoramento;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;3;2;1;;;1;;;;1;0;0;0;0;0;0;0;0;0;0;1
0600;Universidade de Évora;5403;História;D;Doutoramento;200;Artes e Humanidades;220;Humanidades;225;História e Arqueologia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;2;1;;;;5;;;;1;0;0;0;0;0;0;0;0;0;0;1
0600;Universidade de Évora;6014;Artes Visuais - Intermédia;M;Mestrado;200;Artes e Humanidades;210;Artes;211;Belas-Artes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;0;0;0;0;0;0;1;0;0;0;0;1
0600;Universidade de Évora;6040;Ciências da Terra, da Atmosfera e do Espaço;M;Mestrado;400;Ciências, Matemática e Informática;440;Ciências Físicas;443;Ciências da Terra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;2;;;;0;0;0;0;1;0;0;0;0;0;0;1
0600;Universidade de Évora;6371;Teatro;M;Mestrado;200;Artes e Humanidades;210;Artes;212;Artes do Espectáculo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;6;;;;0;0;0;0;0;0;1;0;0;0;0;1
0600;Universidade de Évora;6772;Arqueologia e Ambiente;M;Mestrado;200;Artes e Humanidades;220;Humanidades;225;História e Arqueologia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;;;;0;0;0;0;0;0;1;0;0;0;0;1
0600;Universidade de Évora;6777;Gestão e Conservação dos Recursos Naturais;M;Mestrado;800;Serviços;850;Protecção do Ambiente;852;Ambientes Naturais e Vida Selvagem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;3;;;;0;0;0;0;0;1;2;0;0;0;0;3
0600;Universidade de Évora;6778;Línguas Aplicadas e Tradução;M;Mestrado;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;8;;;;0;0;0;0;0;0;2;0;0;0;0;2
0600;Universidade de Évora;6783;Qualidade e Gestão do Ambiente;M;Mestrado;800;Serviços;850;Protecção do Ambiente;851;Tecnologia de Protecção do Ambiente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;0;0;0;0;0;0;1;0;0;0;0;1
0600;Universidade de Évora;6785;Zootecnia;M;Mestrado;600;Agricultura;620;Agricultura, Silvicultura e Pescas;621;Produção Agrícola e Animal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;1;4;;;;0;0;0;0;0;0;1;0;0;0;0;1
0600;Universidade de Évora;8047;Estudos Básicos em Ciências da Saúde Animal;L1;Licenciatura 1.º Ciclo;600;Agricultura;640;Ciências Veterinárias;640;Ciências Veterinárias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;35;9;;;;0;0;0;0;0;0;2;0;0;0;0;2
