CodigoFaculdade;NomeFaculdade;CodigoCurso;NomeCurso;Grau;TotalDesempregados;TotalDiplomados
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;8418;Arqueologia (regime pós-laboral);LICENCIATURA;5;6
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9132;Estudos Artísticos;LICENCIATURA;7;34
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9204;Línguas, Literaturas e Culturas;LICENCIATURA;1;3
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9219;Psicologia;LICENCIATURA;14;151
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9303;História da Arte;MESTRADO;1;0
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9325;Psicologia Social e das Organizações;MESTRADO;2;2
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9787;Património Cultural;LICENCIATURA;4;18
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9817;Artes Visuais;LICENCIATURA;9;18
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9821;Ciências da Educação e da Formação;LICENCIATURA;27;104
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9825;Ciências Documentais e Editoriais;LICENCIATURA;6;26
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9834;Línguas e Comunicação;LICENCIATURA;5;23
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0054;Biologia e Geologia (Ensino de);LICENCIATURA;17;114
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0057;Biologia Marinha e Pescas;LICENCIATURA;7;190
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0213;Engenharia do Ambiente;LICENCIATURA;24;214
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0744;Oceanografia;LICENCIATURA;3;21
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;1127;Biologia e Geologia;LICENCIATURA;19;47
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;4452;Gestão e Conservação da Natureza;MESTRADO;2;29
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;4657;Estudos Marinhos e Costeiros;MESTRADO;1;36
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;9011;Biologia;LICENCIATURA;1;9
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;9013;Biologia Marinha;LICENCIATURA;5;184
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;9099;Engenharia do Ambiente;LICENCIATURA;1;30
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;9263;Aquacultura e Pescas;MESTRADO;1;8
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;9391;Biologia Marinha;MESTRADO;8;77
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;9417;Engenharia do Ambiente;MESTRADO;3;10
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;9595;Ciências de Engenharia do Ambiente;LICENCIATURA;3;10
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0063;Bioquímica;LICENCIATURA;6;129
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0219;Engenharia de Sistemas e Computação;LICENCIATURA;2;63
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0340;Engenharia de Sistemas e Informática;LICENCIATURA;4;58
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0381;Física e Química;LICENCIATURA;23;125
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0479;Informática;LICENCIATURA;6;72
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0480;Informática (Ensino de);LICENCIATURA;3;79
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0487;Informática - Gestão;LICENCIATURA;3;21
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0559;Matemática;LICENCIATURA;40;168
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0705;Química;LICENCIATURA;2;64
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;4660;Matemática;MESTRADO;1;16
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;4766;Qualidade em Análises;MESTRADO;1;8
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;6805;Hortofruticultura;MESTRADO;1;1
