CodigoFaculdade;CodigoCurso;Nota
1204;9693;100,8
1204;9707;125
1204;9761;133
1204;9841;95
1300;8083;177,8
1300;8471;95
1300;9011;119,3
1300;9015;106,6
1300;9025;117,6
1300;9026;111,9
1300;9069;112,6
1300;9081;106,7
1300;9119;107,1
1300;9147;128,5
1300;9196;139,7
1300;9209;103,7
1300;9219;133,8
1300;9678;
1300;9720;112,1
1300;9736;125,4
1300;9853;125,2
1300;A003;
1320;9500;131,5
1500;9822;140,8
1501;9069;151
1501;9071;144,3
1501;9257;112,3
1501;G004;104,8
1501;G008;120,3
1502;8415;157,5
1502;9070;176,5
1502;9072;159
1502;9754;144,5
1502;9790;157
1502;9903;137
1502;9904;164,5
1503;9011;139,5
1503;9015;145,5
1503;9119;145
1503;9141;149,8
1503;9146;104,5
1503;9209;140,5
1503;9212;118,5
1503;9223;127,8
1503;9226;112,8
1503;9368;148
1503;9381;123,5
1503;9385;143
1503;9811;113,3
1503;9845;167,3
1503;L079;130
1503;L096;111,3
1504;8358;135,5
1504;9078;144
1505;9494;146,8
1506;8104;134
1506;8413;130,5
1506;8458;140
1506;9006;119
1506;9025;137,5
1506;9040;108,5
1506;9131;99
1506;9133;107
1506;9135;137
1506;9139;121,5
1506;9181;129,5
1506;9182;111
1506;9204;137
1506;9252;137,5
1506;9914;151,5
1506;9917;101,5
1506;L097;102,5
1507;9813;178,8
1508;9548;175,3
1508;9556;118,8
1508;9791;108,8
1509;9847;159,8
1510;9068;108
1510;9162;148,5
1510;9707;124,5
1510;9753;120
1510;9841;123
1511;9555;143
1513;L040;103,3
1514;8411;119,2
1514;9143;109,8
1515;8258;111,8
1515;8377;115,8
1515;9011;128,3
1515;9086;130,3
1515;9087;107,8
1515;9099;117,5
1515;9129;129,3
1516;8014;122
1516;8102;117
1516;8109;113
1516;8111;128
1516;8363;100
1516;8364;132,5
1516;9002;130,5
1516;9019;148
1516;9023;155,5
1516;9157;146
1516;9229;153
1516;9238;138
1516;9240;128,5
1516;9448;102
1517;9081;154
1517;9140;149
1517;9147;154,5
1517;9210;171
1517;A001;154
1517;A006;151,5
1518;9096;155,5
1518;9121;166,5
1518;9257;158,3
1518;9345;180,5
1518;9357;185,3
1518;9358;167,3
1518;9359;179,5
1518;9360;120
1518;9367;161
1518;9369;169,8
1518;9458;185,3
1518;9461;158,5
1518;9508;149
1518;9911;160
1518;9913;130,5
1519;9098;145
1519;9104;162
1519;9121;160
1519;9912;145
3011;8005;119,2
3011;8449;99
3011;9056;131,5
3011;9140;134,3
3011;9205;140
3011;9869;99,6
3011;9888;103
3012;8016;104,5
3012;8405;113,9
3012;9109;112,4
3012;9235;124
3012;9769;105,1
3012;L021;130,2
3013;9500;137,4
3013;9504;151,2
3013;9890;119,8
3013;L066;125,6
3014;L135;95
3014;L138;133,2
3021;9003;
3021;9099;
3021;9350;
3022;9238;116,2
3022;9347;128,7
3022;9354;118,1
3022;9563;98,9
3022;9853;101,9
3023;8437;95
3023;9119;104,8
3023;9152;110,3
3023;9242;112,9
3023;9254;106
3023;9994;
3031;8015;112,7
3031;8092;108
3031;8156;132,8
3031;8341;109,4
3031;8402;110,3
3031;9056;131
3031;9140;121,7
3031;9242;136,1
3031;9759;100
3031;9869;100,6
3031;9920;124
3031;9990;
3031;L140;105,4
3032;8311;127
3032;8409;128,4
3032;8417;106,5
3032;8467;114,8
3032;9112;113,5
3033;9074;130,2
3033;9470;143,7
3033;9873;127,6
3041;8401;
3041;9085;125,6
3041;9086;
3041;9099;
3041;9129;
3041;L016;
3041;L029;107,4
3042;8323;108
3042;8374;108,7
3042;9082;
3042;9084;98,9
3042;9214;110,8
3042;9563;95
3042;9853;103,7
3042;9898;103,8
3042;9933;111,6
3043;9056;105
3043;9089;
3043;9112;
3043;9119;110,5
3043;9123;
3043;9126;
3043;9147;115,8
3043;9186;
3043;9910;
3043;9991;
3043;A004;105,5
3043;L058;129,8
3043;L069;109,1
3045;8309;100,7
3045;9165;104,1
3045;9188;
3045;9205;101,2
3045;9213;108,3
3045;9242;104,3
3045;9247;108
3045;9254;97
3051;8397;
3051;9003;
3051;9085;107
3051;L093;97
3051;L132;127,5
3052;9238;124,2
3052;9485;105,9
3052;9850;95
3052;9853;102,8
3053;8463;
3053;9089;
3053;9111;
3053;9118;
3053;9119;109,8
3053;9248;
3054;9063;120
3054;9173;100,5
3054;9177;95
3054;9242;95
3054;L021;112,3
3055;9725;108,7
3055;9726;124,5
3055;9907;107
3061;9016;109,7
3061;9619;113,5
3061;9673;95
3061;L009;113,8
3061;L015;105,8
3061;L024;106,9
3061;L098;110,2
3062;8093;
3062;8114;115,8
3062;8342;117,5
3062;9054;139,9
3062;9214;107
3062;9254;139,8
3062;9668;113,6
3062;9675;104,9
3062;9717;131,9
3062;9731;105
3062;9774;106
3062;9853;126,2
3062;9894;140,3
3062;9898;148,3
3062;L095;110,3
3063;8519;120,5
3063;9061;121,7
3063;9152;135,7
3063;9186;111,9
3063;9722;122
3063;9801;130,7
3063;L023;131,9
3064;9089;
3064;9104;123,5
3064;9105;113,6
3064;9109;114,5
3064;9119;126,9
3064;9123;109,9
3064;9540;120,2
3064;9770;116,9
3064;9884;
3064;9885;112,6
3064;L133;108,1
3065;9058;108,4
3065;9119;108,5
3065;L018;
3065;L126;109,9
3081;8337;107,1
3081;9023;126,7
3081;9070;125,3
