CodigoUniversidade;NomeUniversidade;CodigoCurso;NomeCurso;Grau;CodigoArea;1ºEmp<6;1ºEmp6a12;1ºEmp>=12;NovoEmp<6;NovoEmp6a12;NovoEmp>=12;TotalDesempregados;TotalDiplomados
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;1703;Reabilitação Psicomotora;LICENCIATURA;726;;;;5;3;3;11;152;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;4078;Ciências da Educação;MESTRADO;142;;;;1;;;1;145;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;4098;Ciências da Fisioterapia;MESTRADO;726;;;;1;;;1;59;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;4139;Desenvolvimento da Criança;MESTRADO;813;;;;;;1;1;67;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;4187;Educação Especial;MESTRADO;142;;;;;1;;1;127;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;4349;Exercício e Saúde;MESTRADO;862;;;;2;;;2;98;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;4704;Performance Artística/Dança;MESTRADO;212;;;;1;1;;2;35;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;4754;Psicologia do Desporto;MESTRADO;311;;;;1;;;1;82;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;4795;Reabilitação;MESTRADO;726;;;;;;2;2;16;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;4884;Treino do Jovem Atleta;MESTRADO;813;;;;;;1;1;67;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;6031;Ciências da Educação;MESTRADO;142;;;;1;;;1;3;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;6038;Ciências da Fisioterapia;MESTRADO;726;;;;1;;;1;16;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;6125;Exercício e Saúde;MESTRADO;862;1;;;;;;1;31;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;6150;Gestão do Desporto;MESTRADO;345;;;;1;1;1;3;22;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;6207;Perfomance Artística - Dança;MESTRADO;212;;;;1;;;1;9;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;6221;Psicologia do Desporto;MESTRADO;311;;;;1;;;1;7;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;6229;Reabilitação;MESTRADO;726;;;1;;;;1;1;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;6259;Treino de Alto Rendimento;MESTRADO;813;;;;1;1;;2;25;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;6454;Ensino de Educação Física nos Ensinos Básico e Secundário;MESTRADO;146;;;1;2;;;3;130;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;6481;Ergonomia;MESTRADO;862;;;;1;2;;3;25;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;6961;Treino Desportivo;MESTRADO;813;1;;;;;;1;19;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;8129;Dança;LICENCIATURA;212;;;;1;;;1;5;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;8172;Educação Especial e Reabilitação;LICENCIATURA;726;;;;2;;;2;61;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;9068;Dança;LICENCIATURA;212;;;;4;1;1;6;44;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;9162;Gestão do Desporto;LICENCIATURA;345;6;;;7;2;2;17;101;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;9707;Ciências do Desporto;LICENCIATURA;813;6;;;8;4;1;19;399;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;9753;Ergonomia;LICENCIATURA;862;;1;;;;;1;42;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;9841;Reabilitação Psicomotora;LICENCIATURA;726;13;;;5;2;2;22;168;
0806;Universidade Técnica de Lisboa - Faculdade de Motricidade Humana;M147;Reabilitação Psicomotora;MESTRADO;726;2;3;3;3;2;2;15;60;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);0022;Arquitectura;LICENCIATURA;581;;;;6;5;4;15;96;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);0213;Engenharia do Ambiente;LICENCIATURA;851;;;;2;2;3;7;194;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);0220;Engenharia de Minas e Georrecursos;LICENCIATURA;544;;;;1;;1;2;95;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);0224;Engenharia Biológica;LICENCIATURA;421;;;;1;1;;2;183;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);0233;Engenharia Civil;LICENCIATURA;582;;;;84;63;169;316;4076;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);0239;Engenharia Naval;LICENCIATURA;525;;;;2;;1;3;133;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);0255;Engenharia Electrotécnica e de Computadores;LICENCIATURA;523;;;;38;42;92;172;3875;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);0272;Engenharia Física Tecnológica;LICENCIATURA;441;;;1;1;;1;3;389;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);0290;Engenharia e Gestão Industrial;LICENCIATURA;529;;;;;1;4;5;286;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);0294;Engenharia Informática e de Computadores;LICENCIATURA;523;;;;9;5;9;23;1426;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);0302;Engenharia de Materiais;LICENCIATURA;543;;;;5;2;5;12;188;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);0304;Engenharia Mecânica;LICENCIATURA;521;;;;40;20;87;147;2178;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);0315;Engenharia Metalúrgica e de Materiais;LICENCIATURA;521;;;;1;1;3;5;74;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);0318;Engenharia de Minas;LICENCIATURA;544;;;;;1;2;3;84;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);0331;Engenharia Química;LICENCIATURA;524;;;;13;6;53;72;1607;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);0345;Engenharia do Território;LICENCIATURA;581;;;;11;4;6;21;230;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);0568;Matemática Aplicada e Computação;LICENCIATURA;461;;;;2;;4;6;307;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);0705;Química;LICENCIATURA;442;;;;1;;;1;78;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);1060;Ciências Informáticas;LICENCIATURA;481;;;;;;1;1;4;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);1220;Engenharia e Arquitectura Naval;LICENCIATURA;525;;;;;1;1;2;45;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);4038;Biotecnologia (Engenharia Bioquímica);MESTRADO;524;;;;1;;;1;120;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);4044;Ciências e Engenharia de Materiais;MESTRADO;543;;;;1;;;1;6;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);4115;Construção;MESTRADO;582;;;;1;5;2;8;168;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);4195;Engenharia Electrotécnica e de Computadores;MESTRADO;523;;;1;3;2;5;11;663;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);4205;Engenharia e Gestão de Tecnologia;MESTRADO;345;;;;;1;;1;59;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);4207;Engenharia Informática e de Computadores;MESTRADO;523;;;;1;;;1;123;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);4210;Engenharia Mecânica;MESTRADO;521;;;;1;1;2;4;295;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);4240;Engenharia de Estruturas;MESTRADO;582;;;;1;;1;2;148;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);4470;Georrecursos;MESTRADO;544;;;;;;1;1;99;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);4492;Hidráulica e Recursos Hídricos;MESTRADO;521;;;;1;;4;5;118;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);4656;Logística;MESTRADO;345;;;;;;1;1;18;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);4666;Matemática Aplicada;MESTRADO;461;;;;1;;;1;115;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);4830;Sistemas de Informação Geográfica;MESTRADO;443;;;;2;1;;3;105;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);4882;Transportes;MESTRADO;840;;;;2;1;;3;86;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);4976;Engenharia Física Tecnológica;MESTRADO;441;;;;1;;1;2;14;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);5146;Engenharia Química;DOUTORAMENTO;524;;;;1;;;1;16;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);5160;Ciências de Engenharia;DOUTORAMENTO;529;;;;1;;1;2;34;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);5229;Química;DOUTORAMENTO;442;;;;1;;;1;20;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);5252;Engenharia Aeroespacial;DOUTORAMENTO;525;;;;;;1;1;16;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);5266;Engenharia de Materiais;DOUTORAMENTO;543;;;;;;1;1;27;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);5286;Engenharia Electrotécnica e de Computadores;DOUTORAMENTO;523;;;;1;;1;2;194;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);5303;Engenharia Mecânica;DOUTORAMENTO;521;;;;1;;;1;147;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);5310;Engenharia Química;DOUTORAMENTO;524;;;;4;;1;5;104;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);5720;Química;DOUTORAMENTO;442;;;;;;1;1;79;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);6712;Bioengenharia e Nanossistemas;MESTRADO;524;2;;;;;;2;8;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);8506;Ciências de Engenharia - Engenharia Civil;LICENCIATURA;582;16;2;;5;4;1;28;1176;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);8508;Ciências de Engenharia - Engenharia do Ambiente;LICENCIATURA;851;2;;;;;;2;90;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9031;Ciências de Engenharia - Engenharia do Ambiente;LICENCIATURA;851;;;;;;1;1;80;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9032;Ciências de Engenharia - Engenharia do Território;LICENCIATURA;581;;;;;;1;1;33;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9037;Ciências de Engenharia - Engenharia Informática e de Computadores;LICENCIATURA;523;;;;;;1;1;370;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9096;Engenharia de Materiais;LICENCIATURA;543;1;1;;;;;2;39;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9121;Engenharia Informática e de Computadores;LICENCIATURA;523;10;;;4;;;14;443;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9257;Arquitectura;MESTRADO;581;14;3;;7;2;3;29;236;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9345;Matemática Aplicada e Computação;LICENCIATURA;461;2;;;;;;2;137;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9357;Engenharia Aeroespacial;MESTRADO;525;8;;;1;;;9;166;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9358;Engenharia Biológica;MESTRADO;421;10;3;3;4;2;1;23;206;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9359;Engenharia Biomédica;MESTRADO;524;6;2;;2;;;10;163;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9360;Engenharia Civil;MESTRADO;582;24;4;4;13;2;7;54;774;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9367;Engenharia Electrotécnica e de Computadores;MESTRADO;523;12;1;;3;1;1;18;767;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9369;Engenharia Mecânica;MESTRADO;521;10;3;;5;;1;19;418;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9399;Biotecnologia;MESTRADO;524;5;1;1;2;1;;10;44;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9415;Engenharia de Materiais;MESTRADO;543;2;;;;;1;3;58;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9417;Engenharia do Ambiente;MESTRADO;851;;;;1;1;1;3;30;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9418;Engenharia do Território;MESTRADO;581;;1;;1;2;1;5;30;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9426;Engenharia Geológica e de Minas;MESTRADO;544;;;;;;1;1;35;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9427;Engenharia Informática e de Computadores;MESTRADO;523;1;;;;1;;2;423;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9442;Química;MESTRADO;442;1;;1;;;1;3;63;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9458;Engenharia Física Tecnológica;MESTRADO;441;3;;;1;;;4;129;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9461;Engenharia Química;MESTRADO;524;6;2;1;4;1;;14;258;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9508;Engenharia do Ambiente;MESTRADO;851;8;;1;6;;;15;111;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9581;Ciências de Engenharia - Engenharia Aeroespacial;LICENCIATURA;525;2;;;;;;2;311;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9582;Ciências de Engenharia - Engenharia Biológica;LICENCIATURA;421;1;1;;1;1;;4;265;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9584;Ciências de Engenharia - Engenharia Electrotécnica e de Computadores;LICENCIATURA;523;13;;;1;;1;15;1148;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9585;Ciências de Engenharia - Engenharia Física Tecnológica;LICENCIATURA;441;1;1;;;;;2;224;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9586;Ciências de Engenharia - Engenharia Mecânica;LICENCIATURA;521;9;;1;7;;1;18;680;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9587;Ciências de Engenharia - Engenharia Química;LICENCIATURA;524;;;;2;;;2;297;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9614;Estudos de Arquitectura;LICENCIATURA;581;;;;;;1;1;325;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);9911;Engenharia e Arquitectura Naval;LICENCIATURA;525;;;;;1;;1;26;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);M156;Urbanismo e Ordenamento do Território;MESTRADO;581;;;;;1;;1;2;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);M440;Engenharia de Estruturas;MESTRADO;582;2;;1;;;;3;1;
0807;Universidade Técnica de Lisboa - Instituto Superior Técnico (Alameda);M446;Construção e Reabilitação;MESTRADO;582;;;;1;;;1;8;
0808;Universidade Técnica de Lisboa - Instituto Superior Técnico (Taguspark);0294;Engenharia Informática e de Computadores;LICENCIATURA;523;;;;1;;;1;38;
0808;Universidade Técnica de Lisboa - Instituto Superior Técnico (Taguspark);9104;Engenharia e Gestão Industrial;LICENCIATURA;529;7;;;1;;1;9;169;
0808;Universidade Técnica de Lisboa - Instituto Superior Técnico (Taguspark);9121;Engenharia Informática e de Computadores;LICENCIATURA;523;2;1;;1;;;4;236;
0808;Universidade Técnica de Lisboa - Instituto Superior Técnico (Taguspark);9416;Engenharia de Redes de Comunicações;MESTRADO;523;1;;;;;;1;114;
0808;Universidade Técnica de Lisboa - Instituto Superior Técnico (Taguspark);9420;Engenharia e Gestão Industrial;MESTRADO;529;3;1;;;;;4;147;
0808;Universidade Técnica de Lisboa - Instituto Superior Técnico (Taguspark);9421;Engenharia Electrónica;MESTRADO;523;;;;1;;;1;55;
0808;Universidade Técnica de Lisboa - Instituto Superior Técnico (Taguspark);9427;Engenharia Informática e de Computadores;MESTRADO;523;;;;1;;;1;293;
0808;Universidade Técnica de Lisboa - Instituto Superior Técnico (Taguspark);9746;Engenharia de Redes de Comunicações;LICENCIATURA;523;;;1;;;1;2;141;
0808;Universidade Técnica de Lisboa - Instituto Superior Técnico (Taguspark);9912;Engenharia Electrónica;LICENCIATURA;523;;;;2;;;2;53;
0901;Universidade Nova de Lisboa - Faculdade de Ciências Médicas;0580;Medicina;LICENCIATURA;721;;;;1;;3;4;2765;
0901;Universidade Nova de Lisboa - Faculdade de Ciências Médicas;4280;Epidemiologia;MESTRADO;721;;;;;;1;1;36;
0901;Universidade Nova de Lisboa - Faculdade de Ciências Médicas;4795;Reabilitação;MESTRADO;726;;;;1;;;1;10;
0901;Universidade Nova de Lisboa - Faculdade de Ciências Médicas;6488;Microbiologia Médica;MESTRADO;421;1;;;;;1;2;10;
0901;Universidade Nova de Lisboa - Faculdade de Ciências Médicas;8060;Ciências Básicas da Saúde;LICENCIATURA;729;;;;;1;;1;919;
0901;Universidade Nova de Lisboa - Faculdade de Ciências Médicas;9532;Saúde e Envelhecimento;MESTRADO;853;;;;;1;;1;14;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;0016;Antropologia;LICENCIATURA;312;;;;24;8;22;54;654;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;0076;Ciências da Comunicação;LICENCIATURA;321;1;;;19;12;26;58;590;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;0091;Ciências Musicais;LICENCIATURA;212;;;;5;1;3;9;274;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;0112;Comunicação Social;LICENCIATURA;321;;;;6;4;19;29;193;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;0360;Filosofia;LICENCIATURA;226;;;1;21;6;18;46;490;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;0363;Filosofia, variante de História das Ideias;LICENCIATURA;226;;;;3;2;10;15;157;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;0395;Geografia e Planeamento Regional;LICENCIATURA;312;;;;14;5;19;38;1003;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;0453;História;LICENCIATURA;225;;;1;24;1;26;52;858;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;0459;História, variante de Arqueologia;LICENCIATURA;225;;;;3;3;7;13;130;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;0468;História, variante de História da Arte;LICENCIATURA;211;;;;3;2;5;10;280;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;0528;Línguas e Literaturas Modernas, variante de Estudos Ingleses e Alemães;LICENCIATURA;222;;;;13;5;11;29;633;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;0530;Línguas e Literaturas Modernas, variante de Estudos Portugueses;LICENCIATURA;223;;;;17;7;18;42;711;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;0532;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Alemães;LICENCIATURA;222;;;;14;2;12;28;267;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;0534;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Espanhóis;LICENCIATURA;222;;;;1;;1;2;25;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;0536;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Franceses;LICENCIATURA;222;;;;26;6;26;58;820;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;0538;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Ingleses;LICENCIATURA;222;;;;23;8;20;51;890;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;0541;Línguas e Literaturas Românicas;LICENCIATURA;222;;;;1;;;1;34;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;0552;Linguística;LICENCIATURA;222;;;;3;1;4;8;113;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;0759;Sociologia;LICENCIATURA;312;;;1;18;16;24;59;1020;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;0870;Ciência Política e Relações Internacionais;LICENCIATURA;313;;;;6;6;7;19;358;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;0871;História da Arte;LICENCIATURA;211;;;;3;2;2;7;122;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;1468;História, variante de História da Arte;LICENCIATURA;145;;;;;;1;1;51;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;1503;Estudos Franceses (Língua, Arte e Cultura);LICENCIATURA;222;;;;1;;;1;1;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;1528;Línguas e Literaturas Modernas, variante de Estudos Ingleses e Alemães;LICENCIATURA;145;;;;;;2;2;155;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;1530;Línguas e Literaturas Modernas, variante de Estudos Portugueses;LICENCIATURA;145;;;;1;;;1;272;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;1532;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Alemães;LICENCIATURA;145;;;;1;;;1;67;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;1536;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Franceses;LICENCIATURA;145;;;;;;1;1;348;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;1538;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Ingleses;LICENCIATURA;145;;;;1;;1;2;263;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;4006;Antropologia;MESTRADO;312;;;;3;1;1;5;45;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;4072;Ciências Musicais;MESTRADO;212;;;;;;1;1;49;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;4076;Ciências da Comunicação;MESTRADO;321;;;;1;1;2;4;120;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;4078;Ciências da Educação;MESTRADO;142;;;;2;;2;4;72;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;4108;Comunicação Social;MESTRADO;321;;;;;;1;1;40;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;4154;Ecologia Humana e Problemas Sociais Contemporâneos;MESTRADO;312;;;;;;1;1;75;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;4237;Ciência Política e Relações Internacionais;MESTRADO;313;;;;;1;1;2;15;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;4324;Estudos Anglo-Portugueses;MESTRADO;222;;;;1;;;1;75;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;4334;Estudos Portugueses;MESTRADO;223;;;;1;;;1;96;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;4348;Filosofia;MESTRADO;226;;;;1;1;;2;89;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;4362;Filosofia da Educação;MESTRADO;142;;;;1;;;1;5;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;4413;Ensino do Português como Língua Segunda e Estrangeira;MESTRADO;145;;;;1;;;1;19;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;4429;Gestão do Território;MESTRADO;581;;;;;;2;2;16;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;4498;História;MESTRADO;225;;;;;;1;1;21;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;4510;História Cultural e Política;MESTRADO;225;;;;;;1;1;66;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;4528;História da Arte;MESTRADO;211;;1;;1;;3;5;136;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;4533;História e Arqueologia Medievais;MESTRADO;225;;;;1;;;1;6;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;4546;História dos Séculos XIX e XX;MESTRADO;225;;;;1;;1;2;92;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;4576;Linguística;MESTRADO;222;;;;;;1;1;112;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;4648;Literaturas Comparadas Portuguesa e Francesa;MESTRADO;222;;;;1;;;1;121;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;4709;Museologia e Património;MESTRADO;225;;;;;;1;1;73;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;4846;Sociologia;MESTRADO;312;;;;2;;1;3;65;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;5153;Filosofia;DOUTORAMENTO;226;;;;1;;;1;8;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;5339;Estudos Portugueses;DOUTORAMENTO;223;;;;;;1;1;38;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;5409;História e Teoria das Ideias;DOUTORAMENTO;225;;;;1;;;1;23;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;5646;História da Arte;DOUTORAMENTO;211;;;;1;;;1;6;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;6011;Arqueologia;MESTRADO;225;;;;;1;;1;18;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;6031;Ciências da Educação;MESTRADO;142;1;;1;1;;;3;75;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;6039;Ciências da Informação e da Documentação;MESTRADO;322;;;;1;1;;2;49;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;6047;Ciências Musicais;MESTRADO;212;;1;;;;;1;28;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;6096;Ensino do Português como Língua Segunda e Estrangeira;MESTRADO;145;;;;2;;2;4;63;
0902;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;6158;História;MESTRADO;225;1;1;;;;;2;77;
