CodigoUniversidade;NomeUniversidade;CodigoCurso;NomeCurso;Grau;CodigoArea;1ºEmp<6;1ºEmp6a12;1ºEmp>=12;NovoEmp<6;NovoEmp6a12;NovoEmp>=12;TotalDesempregados;TotalDiplomados
0300;Universidade de Aveiro;0623;Planeamento Regional e Urbano;LICENCIATURA;581;1;;1;7;2;14;25;344;
0300;Universidade de Aveiro;0625;Educação de Infância;LICENCIATURA;143;;;;15;3;12;30;448;
0300;Universidade de Aveiro;0630;Português e Francês (Ensino de);LICENCIATURA;145;;;;27;5;21;53;867;
0300;Universidade de Aveiro;0633;Português e Inglês (Ensino de);LICENCIATURA;145;;;;11;11;17;39;632;
0300;Universidade de Aveiro;0636;Português, Latim e Grego (Ensino de);LICENCIATURA;145;;;;20;2;20;42;375;
0300;Universidade de Aveiro;0656;Professores do 1.º ciclo do Ensino Básico;BACHARELATO;144;;;;1;;1;2;28;
0300;Universidade de Aveiro;0663;Electrónica e Informática (Ensino de);LICENCIATURA;146;;;;1;1;;2;85;
0300;Universidade de Aveiro;0705;Química;LICENCIATURA;442;1;;;12;9;17;39;544;
0300;Universidade de Aveiro;0707;Ensino Básico - 1.º Ciclo;LICENCIATURA;144;;;;30;14;20;64;427;
0300;Universidade de Aveiro;1043;Bioquímica e Química Alimentar;LICENCIATURA;442;1;;;2;2;1;6;127;
0300;Universidade de Aveiro;1525;Línguas e Relações Empresariais;LICENCIATURA;347;;;;2;2;2;6;134;
0300;Universidade de Aveiro;1640;Línguas, Literaturas e Culturas;LICENCIATURA;222;;;1;1;;2;4;19;
0300;Universidade de Aveiro;1700;Química Industrial e Gestão;LICENCIATURA;524;;;;1;2;;3;71;
0300;Universidade de Aveiro;1772;Tecnologias de Informação e Comunicação;LICENCIATURA;481;1;1;1;4;1;2;10;85;
0300;Universidade de Aveiro;2855;Educadores de Infância;LICENCIATURA;143;;;;4;1;1;6;206;
0300;Universidade de Aveiro;2857;Professores do 1.º ciclo do Ensino Básico;LICENCIATURA;144;;;;5;2;;7;205;
0300;Universidade de Aveiro;4044;Ciências e Engenharia de Materiais;MESTRADO;543;;;;;1;1;2;42;
0300;Universidade de Aveiro;4078;Ciências da Educação;MESTRADO;142;;;;4;;;4;95;
0300;Universidade de Aveiro;4084;Ciências das Zonas Costeiras;MESTRADO;443;;;;;;2;2;98;
0300;Universidade de Aveiro;4159;Economia de Empresa;MESTRADO;314;;;;1;1;;2;15;
0300;Universidade de Aveiro;4198;Engenharia Electrónica e de Telecomunicações;MESTRADO;523;;;;2;3;2;7;231;
0300;Universidade de Aveiro;4210;Engenharia Mecânica;MESTRADO;521;;;;1;1;;2;28;
0300;Universidade de Aveiro;4251;Comunicação e Educação em Ciências;MESTRADO;321;;;;;;1;1;41;
0300;Universidade de Aveiro;4267;Design, Materiais e Gestão do Produto;MESTRADO;214;;;;;;1;1;24;
0300;Universidade de Aveiro;4269;Ensino de Física;MESTRADO;145;;;;;;1;1;13;
0300;Universidade de Aveiro;4270;Ensino da Física e da Química;MESTRADO;145;;;;1;;1;2;68;
0300;Universidade de Aveiro;4272;Ensino de Geologia e Biologia;MESTRADO;145;;;;;1;1;2;57;
0300;Universidade de Aveiro;4274;Gestão Ambiental, Materiais e Valorização de Resíduos;MESTRADO;851;;;;;1;1;2;28;
0300;Universidade de Aveiro;4297;Educação em Ciências no 1.º Ciclo do Ensino Básico;MESTRADO;144;;;;1;;;1;43;
0300;Universidade de Aveiro;4313;Estudos Clássicos;MESTRADO;222;;;;1;;;1;17;
0300;Universidade de Aveiro;4314;Estudos Chineses;MESTRADO;222;;;;;;1;1;24;
0300;Universidade de Aveiro;4331;Estudos Ingleses;MESTRADO;222;;;;;1;1;2;70;
0300;Universidade de Aveiro;4397;Física Aplicada;MESTRADO;441;;;;1;;1;2;38;
0300;Universidade de Aveiro;4448;Gestão e Políticas Ambientais;MESTRADO;852;;;;;1;;1;31;
0300;Universidade de Aveiro;4453;Gestão Curricular;MESTRADO;142;;;;2;;;2;50;
