Código da instituição;Código do curso;Nome da instituição;Nome do curso;Grau académico;Vagas Iniciais;Estudantes colocados;Nota de candidatura do último colocado pelo contingente geral;Vagas sobrantes
1000;9689;Universidade do Minho;Biologia-Geologia;L1;60;53;102,8;7
1000;9813;Universidade do Minho;Medicina;MI;120;120;181,7;0
1000;9853;Universidade do Minho;Educação Básica;L1;48;48;130,0;0
1000;9869;Universidade do Minho;Contabilidade (regime pós-laboral);L1;41;42;125,2;0
1000;G001;Universidade do Minho;Engenharia e Gestão de Sistemas de Informação;MI;90;90;140,0;0
1000;G002;Universidade do Minho;Engenharia e Gestão de Sistemas de Informação (regime pós-laboral);MI;30;30;125,2;0
1000;G005;Universidade do Minho;Engenharia Informática;MI;150;150;158,0;0
1000;G007;Universidade do Minho;Engenharia de Telecomunicações e Informática;MI;35;35;119,0;0
1000;L078;Universidade do Minho;Criminologia e Justiça Criminal;L1;20;20;156,2;0
1101;9554;Universidade do Porto - Faculdade de Ciências da Nutrição e Alimentação;Ciências da Nutrição;L1;70;70;160,5;0
1102;9257;Universidade do Porto - Faculdade de Arquitectura;Arquitetura;MI;125;125;175,5;0
1103;8258;Universidade do Porto - Faculdade de Ciências;Arquitetura Paisagista;L1;30;30;131,0;0
1103;9011;Universidade do Porto - Faculdade de Ciências;Biologia;L1;150;150;135,0;0
1103;9015;Universidade do Porto - Faculdade de Ciências;Bioquímica;L1;85;85;163,5;0
1103;9141;Universidade do Porto - Faculdade de Ciências;Física;L1;41;41;135,3;0
1103;9146;Universidade do Porto - Faculdade de Ciências;Geologia;L1;35;35;116,0;0
1103;9209;Universidade do Porto - Faculdade de Ciências;Matemática;L1;60;60;133,5;0
1103;9223;Universidade do Porto - Faculdade de Ciências;Química;L1;54;34;115,5;20
1103;9368;Universidade do Porto - Faculdade de Ciências;Engenharia Física;MI;35;35;140,8;0
1103;9696;Universidade do Porto - Faculdade de Ciências;Ciência de Computadores;L1;40;40;142,5;0
1103;9709;Universidade do Porto - Faculdade de Ciências;Ciências e Tecnologia do Ambiente;L1;45;45;121,5;0
1103;9812;Universidade do Porto - Faculdade de Ciências;Engenharia de Redes e Sistemas Informáticos;MI;70;70;134,0;0
1103;9824;Universidade do Porto - Faculdade de Ciências;Ciências de Engenharia;L1;30;18;112,8;12
1104;9081;Universidade do Porto - Faculdade de Economia;Economia;L1;223;223;169,5;0
1104;9147;Universidade do Porto - Faculdade de Economia;Gestão;L1;122;122;170,3;0
1105;9360;Universidade do Porto - Faculdade de Engenharia;Engenharia Civil;MI;130;130;130,5;0
1105;9367;Universidade do Porto - Faculdade de Engenharia;Engenharia Eletrotécnica e de Computadores;MI;200;200;163,0;0
1105;9369;Universidade do Porto - Faculdade de Engenharia;Engenharia Mecânica;MI;161;161;175,8;0
1105;9459;Universidade do Porto - Faculdade de Engenharia;Engenharia Informática e Computação;MI;117;117;176,0;0
1105;9460;Universidade do Porto - Faculdade de Engenharia;Engenharia Metalúrgica e de Materiais;MI;30;30;160,8;0
1105;9461;Universidade do Porto - Faculdade de Engenharia;Engenharia Química;MI;67;67;162,3;0
1105;9493;Universidade do Porto - Faculdade de Engenharia;Bioengenharia;MI;62;62;182,0;0
1105;9508;Universidade do Porto - Faculdade de Engenharia;Engenharia do Ambiente;MI;36;36;144,0;0
1105;9509;Universidade do Porto - Faculdade de Engenharia;Engenharia e Gestão Industrial;MI;70;70;184,8;0
1105;9897;Universidade do Porto - Faculdade de Engenharia;Ciências de Engenharia - Engenharia de Minas e Geoambiente;L1;20;15;112,3;5
1106;9494;Universidade do Porto - Faculdade de Farmácia;Ciências Farmacêuticas;MI;187;187;155,8;0
1107;9006;Universidade do Porto - Faculdade de Letras;Arqueologia;L1;32;33;122,4;0
1107;9040;Universidade do Porto - Faculdade de Letras;Ciências da Linguagem;L1;28;28;129,0;0
1107;9138;Universidade do Porto - Faculdade de Letras;Estudos Portugueses e Lusófonos;L1;20;20;130,0;0
1107;9139;Universidade do Porto - Faculdade de Letras;Filosofia;L1;56;56;124,8;0
1107;9143;Universidade do Porto - Faculdade de Letras;Geografia;L1;74;74;128,4;0
1107;9181;Universidade do Porto - Faculdade de Letras;História;L1;72;72;136,8;0
1107;9182;Universidade do Porto - Faculdade de Letras;História da Arte;L1;35;35;126,4;0
1107;9192;Universidade do Porto - Faculdade de Letras;Línguas Aplicadas;L1;51;51;171,2;0
1107;9197;Universidade do Porto - Faculdade de Letras;Línguas e Relações Internacionais;L1;41;41;177,2;0
1107;9204;Universidade do Porto - Faculdade de Letras;Línguas, Literaturas e Culturas;L1;85;86;157,4;0
1107;9240;Universidade do Porto - Faculdade de Letras;Sociologia;L1;47;48;142,8;0
1107;9694;Universidade do Porto - Faculdade de Letras;Ciência da Informação;L1;40;40;143,0;0
1107;9701;Universidade do Porto - Faculdade de Letras;Ciências da Comunicação: Jornalismo, Assessoria, Multimédia;L1;79;80;160,0;0
1108;9813;Universidade do Porto - Faculdade de Medicina;Medicina;MI;245;245;184,0;0
1109;9026;Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação;Ciências da Educação;L1;54;54;138,0;0
1109;9555;Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação;Psicologia;MI;114;115;162,0;0
1110;9708;Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar;Ciências do Meio Aquático;L1;35;36;131,0;0
1110;9813;Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar;Medicina;MI;155;156;182,5;0
1110;9847;Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar;Medicina Veterinária;MI;60;60;171,8;0
1111;9707;Universidade do Porto - Faculdade de Desporto;Ciências do Desporto;L1;132;133;134,0;0
1113;9548;Universidade do Porto - Faculdade de Medicina Dentária;Medicina Dentária;MI;70;70;174,5;0
1114;9066;Universidade do Porto - Faculdade de Direito;Criminologia;L1;45;45;159,8;0
1114;9078;Universidade do Porto - Faculdade de Direito;Direito;L1;155;155;167,8;0
1201;8258;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias;Arquitetura Paisagista;L1;20;8;99,3;12
1201;9086;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias;Engenharia Agronómica;L1;35;21;106,4;14
1201;9114;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias;Engenharia Florestal;L1;20;3;118,6;17
1201;9129;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias;Engenharia Zootécnica;L1;35;19;118,4;16
1201;9752;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias;Enologia;L1;40;40;109,3;0
1201;9847;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias;Medicina Veterinária;MI;82;83;157,7;0
1202;9023;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;Ciências da Comunicação;L1;55;58;135,0;0
1202;9081;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;Economia;L1;36;37;140,7;0
1202;9147;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;Gestão;L1;38;41;152,8;0
1202;9196;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;Línguas e Relações Empresariais;L1;27;28;142,2;0
1202;9204;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;Línguas, Literaturas e Culturas;L1;35;36;121,5;0
1202;9219;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;Psicologia;L1;55;56;148,5;0
1202;9238;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;Serviço Social;L1;43;43;130,0;0
1202;9254;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;Turismo;L1;36;36;131,9;0
1202;9803;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;Teatro e Artes Performativas;L1;25;17;102,3;8
1202;9853;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;Educação Básica;L1;28;29;120,1;0
1202;L092;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;Animação Cultural e Comunitária;L1;32;29;95,0;3
1203;8088;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia;Engenharia e Gestão Industrial (Preparatórios);PM;20;5;130,4;15
1203;9052;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia;Comunicação e Multimédia;L1;45;46;125,0;0
1203;9089;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia;Engenharia Civil;L1;20;0;;20
1203;9119;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia;Engenharia Informática;L1;55;55;130,6;0
1203;9123;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia;Engenharia Mecânica;L1;25;20;116,7;5
1203;9250;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia;Tecnologias de Informação e Comunicação;L1;22;14;104,7;8
1203;9367;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia;Engenharia Eletrotécnica e de Computadores;MI;25;11;119,4;14
1203;9455;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia;Engenharia Biomédica;L1;27;23;115,0;4
1204;9011;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente;Biologia;L1;30;31;117,1;0
1204;9012;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente;Biologia e Geologia;L1;20;3;115,9;17
1204;9015;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente;Bioquímica;L1;50;50;116,4;0
1204;9379;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente;Ciências do Ambiente;L1;20;8;108,0;12
1204;9540;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente;Bioengenharia;L1;30;30;126,1;0
1204;9693;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente;Ciência Alimentar;L1;27;12;100,8;15
1204;9707;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente;Ciências do Desporto;L1;100;100;125,0;0
1204;9761;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente;Genética e Biotecnologia;L1;58;58;133,0;0
1204;9841;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente;Reabilitação Psicomotora;L1;50;43;95,0;7
1300;8083;Universidade da Madeira;Ciclo Básico de Medicina;PM;38;38;177,8;0
1300;8471;Universidade da Madeira;Ciências da Cultura (regime pós-laboral);L1;20;4;95,0;16
1300;9011;Universidade da Madeira;Biologia;L1;20;7;119,3;13
1300;9015;Universidade da Madeira;Bioquímica;L1;25;20;106,6;5
1300;9025;Universidade da Madeira;Ciências da Cultura;L1;25;25;117,6;0
1300;9026;Universidade da Madeira;Ciências da Educação;L1;26;27;111,9;0
1300;9069;Universidade da Madeira;Design;L1;28;19;112,6;9
1300;9081;Universidade da Madeira;Economia;L1;45;25;106,7;20
1300;9119;Universidade da Madeira;Engenharia Informática;L1;72;48;107,1;24
1300;9147;Universidade da Madeira;Gestão;L1;55;55;128,5;0
1300;9196;Universidade da Madeira;Línguas e Relações Empresariais;L1;35;39;139,7;0
1300;9209;Universidade da Madeira;Matemática;L1;20;3;103,7;17
1300;9219;Universidade da Madeira;Psicologia;L1;30;30;133,8;0
1300;9678;Universidade da Madeira;Arte e Multimédia;L1;20;11;;9
1300;9720;Universidade da Madeira;Comunicação, Cultura e Organizações;L1;33;35;112,1;0
1300;9736;Universidade da Madeira;Educação Física e Desporto;L1;30;31;125,4;0
1300;9853;Universidade da Madeira;Educação Básica;L1;20;21;125,2;0
1300;A003;Universidade da Madeira;Eng Civil+Eng Eletrónica e Telecomunicações;L1;40;5;;35
1320;9500;Universidade da Madeira - Escola Superior de Saúde;Enfermagem;L1;23;23;131,5;0
1500;9822;Universidade de Lisboa;Ciências da Saúde;L1;60;60;140,8;0
1501;9069;Universidade de Lisboa - Faculdade de Arquitectura;Design;L1;46;46;151,0;0
1501;9071;Universidade de Lisboa - Faculdade de Arquitectura;Design de Moda;L1;46;46;144,3;0
1501;9257;Universidade de Lisboa - Faculdade de Arquitectura;Arquitetura;MI;192;184;112,3;8
1501;G004;Universidade de Lisboa - Faculdade de Arquitectura;Arquitetura, na área de especialização em Urbanismo;MI;75;8;104,8;67
1501;G008;Universidade de Lisboa - Faculdade de Arquitectura;Arquitectura, área de especializ. em Interiores e Reabilitação do Edificado;MI;50;50;120,3;0
1502;8415;Universidade de Lisboa - Faculdade de Belas-Artes;Desenho (regime pós-laboral);L1;35;36;157,5;0
1502;9070;Universidade de Lisboa - Faculdade de Belas-Artes;Design de Comunicação;L1;60;60;176,5;0
1502;9072;Universidade de Lisboa - Faculdade de Belas-Artes;Design de Equipamento;L1;55;56;159,0;0
1502;9754;Universidade de Lisboa - Faculdade de Belas-Artes;Escultura;L1;55;56;144,5;0
1502;9790;Universidade de Lisboa - Faculdade de Belas-Artes;Pintura;L1;60;60;157,0;0
1502;9903;Universidade de Lisboa - Faculdade de Belas-Artes;Ciências da Arte e do Património (regime pós-laboral);L1;30;31;137,0;0
1502;9904;Universidade de Lisboa - Faculdade de Belas-Artes;Arte Multimédia;L1;60;61;164,5;0
1503;9011;Universidade de Lisboa - Faculdade de Ciências;Biologia;L1;180;180;139,5;0
1503;9015;Universidade de Lisboa - Faculdade de Ciências;Bioquímica;L1;70;70;145,5;0
1503;9119;Universidade de Lisboa - Faculdade de Ciências;Engenharia Informática;L1;105;106;145,0;0
1503;9141;Universidade de Lisboa - Faculdade de Ciências;Física;L1;35;35;149,8;0
1503;9146;Universidade de Lisboa - Faculdade de Ciências;Geologia;L1;90;90;104,5;0
1503;9209;Universidade de Lisboa - Faculdade de Ciências;Matemática;L1;45;45;140,5;0
1503;9212;Universidade de Lisboa - Faculdade de Ciências;Meteorologia, Oceanografia e Geofísica;L1;25;25;118,5;0
1503;9223;Universidade de Lisboa - Faculdade de Ciências;Química;L1;30;30;127,8;0
1503;9226;Universidade de Lisboa - Faculdade de Ciências;Química Tecnológica;L1;25;21;112,8;4
1503;9368;Universidade de Lisboa - Faculdade de Ciências;Engenharia Física;MI;35;35;148,0;0
1503;9381;Universidade de Lisboa - Faculdade de Ciências;Estatística Aplicada;L1;35;35;123,5;0
1503;9385;Universidade de Lisboa - Faculdade de Ciências;Matemática Aplicada;L1;75;75;143,0;0
1503;9811;Universidade de Lisboa - Faculdade de Ciências;Engenharia da Energia e do Ambiente;MI;30;25;113,3;5
1503;9845;Universidade de Lisboa - Faculdade de Ciências;Engenharia Biomédica e Biofísica;MI;40;40;167,3;0
1503;L079;Universidade de Lisboa - Faculdade de Ciências;Tecnologias de Informação;L1;65;65;130,0;0
1503;L096;Universidade de Lisboa - Faculdade de Ciências;Engenharia Geoespacial;L1;20;14;111,3;6
1504;8358;Universidade de Lisboa - Faculdade de Direito;Direito (regime pós-laboral);L1;100;100;135,5;0
1504;9078;Universidade de Lisboa - Faculdade de Direito;Direito;L1;460;461;144,0;0
1505;9494;Universidade de Lisboa - Faculdade de Farmácia;Ciências Farmacêuticas;MI;220;220;146,8;0
1506;8104;Universidade de Lisboa - Faculdade de Letras;Estudos Artísticos, variante de Artes do Espetáculo;L1;49;50;134,0;0
1506;8413;Universidade de Lisboa - Faculdade de Letras;Artes e Humanidades;L1;60;62;130,5;0
1506;8458;Universidade de Lisboa - Faculdade de Letras;Estudos Gerais;L1;60;61;140,0;0
1506;9006;Universidade de Lisboa - Faculdade de Letras;Arqueologia;L1;38;38;119,0;0
1506;9025;Universidade de Lisboa - Faculdade de Letras;Ciências da Cultura;L1;56;56;137,5;0
1506;9040;Universidade de Lisboa - Faculdade de Letras;Ciências da Linguagem;L1;56;57;108,5;0
1506;9131;Universidade de Lisboa - Faculdade de Letras;Estudos Africanos;L1;32;15;99,0;17
1506;9133;Universidade de Lisboa - Faculdade de Letras;Estudos Clássicos;L1;20;22;107,0;0
1506;9135;Universidade de Lisboa - Faculdade de Letras;Estudos Europeus;L1;59;60;137,0;0
1506;9139;Universidade de Lisboa - Faculdade de Letras;Filosofia;L1;43;43;121,5;0
1506;9181;Universidade de Lisboa - Faculdade de Letras;História;L1;61;61;129,5;0
1506;9182;Universidade de Lisboa - Faculdade de Letras;História da Arte;L1;51;51;111,0;0
1506;9204;Universidade de Lisboa - Faculdade de Letras;Línguas, Literaturas e Culturas;L1;200;203;137,0;0
1506;9252;Universidade de Lisboa - Faculdade de Letras;Tradução;L1;61;61;137,5;0
1506;9914;Universidade de Lisboa - Faculdade de Letras;Estudos Asiáticos;L1;27;27;151,5;0
1506;9917;Universidade de Lisboa - Faculdade de Letras;Estudos Portugueses;L1;41;33;101,5;8
1506;L097;Universidade de Lisboa - Faculdade de Letras;Estudos Comparatistas;L1;35;33;102,5;2
1507;9813;Universidade de Lisboa - Faculdade de Medicina;Medicina;MI;295;295;178,8;0
1508;9548;Universidade de Lisboa - Faculdade de Medicina Dentária;Medicina Dentária;MI;65;65;175,3;0
1508;9556;Universidade de Lisboa - Faculdade de Medicina Dentária;Higiene Oral;L1;44;44;118,8;0
1508;9791;Universidade de Lisboa - Faculdade de Medicina Dentária;Prótese Dentária;L1;36;34;108,8;2
1509;9847;Universidade de Lisboa - Faculdade de Medicina Veterinária;Medicina Veterinária;MI;115;115;159,8;0
1510;9068;Universidade de Lisboa - Faculdade de Motricidade Humana;Dança;L1;20;13;108,0;7
1510;9162;Universidade de Lisboa - Faculdade de Motricidade Humana;Gestão do Desporto;L1;33;34;148,5;0
1510;9707;Universidade de Lisboa - Faculdade de Motricidade Humana;Ciências do Desporto;L1;147;147;124,5;0
1510;9753;Universidade de Lisboa - Faculdade de Motricidade Humana;Ergonomia;L1;20;21;120,0;0
1510;9841;Universidade de Lisboa - Faculdade de Motricidade Humana;Reabilitação Psicomotora;L1;56;57;123,0;0
1511;9555;Universidade de Lisboa - Faculdade de Psicologia;Psicologia;MI;145;145;143,0;0
1513;L040;Universidade de Lisboa - Instituto de Educação;Educação e Formação;L1;76;40;103,3;36
1514;8411;Universidade de Lisboa - Instituto de Geografia e Ordenamento do Território;Planeamento e Gestão do Território;L1;45;48;119,2;0
1514;9143;Universidade de Lisboa - Instituto de Geografia e Ordenamento do Território;Geografia;L1;105;108;109,8;0
1515;8258;Universidade de Lisboa - Instituto Superior de Agronomia;Arquitetura Paisagista;L1;20;9;111,8;11
1515;8377;Universidade de Lisboa - Instituto Superior de Agronomia;Engenharia Florestal e dos Recursos Naturais;L1;20;20;115,8;0
1515;9011;Universidade de Lisboa - Instituto Superior de Agronomia;Biologia;L1;45;45;128,3;0
1515;9086;Universidade de Lisboa - Instituto Superior de Agronomia;Engenharia Agronómica;L1;55;55;130,3;0
1515;9087;Universidade de Lisboa - Instituto Superior de Agronomia;Engenharia Alimentar;L1;45;44;107,8;1
1515;9099;Universidade de Lisboa - Instituto Superior de Agronomia;Engenharia do Ambiente;L1;25;25;117,5;0
1515;9129;Universidade de Lisboa - Instituto Superior de Agronomia;Engenharia Zootécnica;L1;35;35;129,3;0
1516;8014;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Serviço Social (regime pós-laboral);L1;37;38;122,0;0
1516;8102;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Administração Pública (regime pós-laboral);L1;46;49;117,0;0
1516;8109;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Sociologia (regime pós-laboral);L1;28;28;113,0;0
1516;8111;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Gestão de Recursos Humanos (regime pós-laboral);L1;65;68;128,0;0
1516;8363;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Administração Pública e Políticas do Território (regime pós-laboral);L1;70;29;100,0;41
1516;8364;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Relações Internacionais (regime pós-laboral);L1;65;66;132,5;0
1516;9002;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Administração Pública;L1;87;90;130,5;0
1516;9019;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Ciência Política;L1;38;38;148,0;0
1516;9023;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Ciências da Comunicação;L1;58;58;155,5;0
1516;9157;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Gestão de Recursos Humanos;L1;50;51;146,0;0
1516;9229;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Relações Internacionais;L1;90;90;153,0;0
1516;9238;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Serviço Social;L1;54;55;138,0;0
1516;9240;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Sociologia;L1;62;62;128,5;0
1516;9448;Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas;Antropologia;L1;52;51;102,0;1
1517;9081;Universidade de Lisboa - Instituto Superior de Economia e Gestão;Economia;L1;145;145;154,0;0
1517;9140;Universidade de Lisboa - Instituto Superior de Economia e Gestão;Finanças;L1;35;35;149,0;0
1517;9147;Universidade de Lisboa - Instituto Superior de Economia e Gestão;Gestão;L1;180;180;154,5;0
1517;9210;Universidade de Lisboa - Instituto Superior de Economia e Gestão;Matemática Aplicada à Economia e à Gestão;L1;40;40;171,0;0
1517;A001;Universidade de Lisboa - Instituto Superior de Economia e Gestão;Gestão (ensino em Inglês);L1;30;30;154,0;0
1517;A006;Universidade de Lisboa - Instituto Superior de Economia e Gestão;Economia (ensino em inglês);L1;25;25;151,5;0
1518;9096;Universidade de Lisboa - Instituto Superior Técnico;Engenharia de Materiais;L1;25;25;155,5;0
1518;9121;Universidade de Lisboa - Instituto Superior Técnico;Engenharia Informática e de Computadores;L1;170;170;166,5;0
1518;9257;Universidade de Lisboa - Instituto Superior Técnico;Arquitetura;MI;50;50;158,3;0
1518;9345;Universidade de Lisboa - Instituto Superior Técnico;Matemática Aplicada e Computação;L1;35;35;180,5;0
1518;9357;Universidade de Lisboa - Instituto Superior Técnico;Engenharia Aeroespacial;MI;85;86;185,3;0
1518;9358;Universidade de Lisboa - Instituto Superior Técnico;Engenharia Biológica;MI;65;65;167,3;0
1518;9359;Universidade de Lisboa - Instituto Superior Técnico;Engenharia Biomédica;MI;60;60;179,5;0
1518;9360;Universidade de Lisboa - Instituto Superior Técnico;Engenharia Civil;MI;140;125;120,0;15
1518;9367;Universidade de Lisboa - Instituto Superior Técnico;Engenharia Eletrotécnica e de Computadores;MI;220;220;161,0;0
1518;9369;Universidade de Lisboa - Instituto Superior Técnico;Engenharia Mecânica;MI;170;170;169,8;0
1518;9458;Universidade de Lisboa - Instituto Superior Técnico;Engenharia Física Tecnológica;MI;60;60;185,3;0
1518;9461;Universidade de Lisboa - Instituto Superior Técnico;Engenharia Química;MI;80;81;158,5;0
1518;9508;Universidade de Lisboa - Instituto Superior Técnico;Engenharia do Ambiente;MI;35;36;149,0;0
1518;9911;Universidade de Lisboa - Instituto Superior Técnico;Engenharia e Arquitetura Naval;L1;30;30;160,0;0
1518;9913;Universidade de Lisboa - Instituto Superior Técnico;Engenharia Geológica e de Minas;L1;20;20;130,5;0
1519;9098;Universidade de Lisboa - Instituto Superior Técnico (Taguspark);Engenharia de Telecomunicações e Informática;L1;55;55;145,0;0
1519;9104;Universidade de Lisboa - Instituto Superior Técnico (Taguspark);Engenharia e Gestão Industrial;L1;65;65;162,0;0
1519;9121;Universidade de Lisboa - Instituto Superior Técnico (Taguspark);Engenharia Informática e de Computadores;L1;90;90;160,0;0
1519;9912;Universidade de Lisboa - Instituto Superior Técnico (Taguspark);Engenharia Eletrónica;L1;34;34;145,0;0
3011;8005;Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro;Marketing (regime pós-laboral);L1;23;25;119,2;0
3011;8449;Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro;Contabilidade (regime de ensino a distância);L1;20;11;99,0;9
3011;9056;Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro;Contabilidade;L1;70;70;131,5;0
3011;9140;Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro;Finanças;L1;20;20;134,3;0
3011;9205;Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro;Marketing;L1;23;23;140,0;0
3011;9869;Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro;Contabilidade (regime pós-laboral);L1;30;17;99,6;13
3011;9888;Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro;Finanças (regime pós-laboral);L1;20;5;103,0;15
3012;8016;Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda;Tecnologias da Informação;L1;20;17;104,5;3
3012;8405;Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda;Gestão da Qualidade;L1;23;23;113,9;0
3012;9109;Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda;Engenharia Eletrotécnica;L1;20;11;112,4;9
3012;9235;Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda;Secretariado e Comunicação Empresarial;L1;24;25;124,0;0
3012;9769;Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda;Gestão Pública e Autárquica;L1;20;19;105,1;1
3012;L021;Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda;Gestão Comercial;L1;30;30;130,2;0
3013;9500;Universidade de Aveiro - Escola Superior de Saúde de Aveiro;Enfermagem;L1;81;81;137,4;0
3013;9504;Universidade de Aveiro - Escola Superior de Saúde de Aveiro;Fisioterapia;L1;35;35;151,2;0
3013;9890;Universidade de Aveiro - Escola Superior de Saúde de Aveiro;Terapia da Fala;L1;22;22;119,8;0
3013;L066;Universidade de Aveiro - Escola Superior de Saúde de Aveiro;Imagem Médica e Radioterapia;L1;25;25;125,6;0
3014;L135;Universidade de Aveiro - Escola Superior de Design, Gestão e Tecnologia de Produção de Aveiro-Norte;Tecnologia e Sistemas de Produção;L1;20;20;95,0;0
3014;L138;Universidade de Aveiro - Escola Superior de Design, Gestão e Tecnologia de Produção de Aveiro-Norte;Design de Produto e Tecnologia;L1;34;35;133,2;0
3021;9003;Instituto Politécnico de Beja - Escola Superior Agrária;Agronomia;L1;47;3;;44
3021;9099;Instituto Politécnico de Beja - Escola Superior Agrária;Engenharia do Ambiente;L1;23;0;;23
3021;9350;Instituto Politécnico de Beja - Escola Superior Agrária;Ciência e Tecnologia dos Alimentos;L1;25;1;;24
3022;9238;Instituto Politécnico de Beja - Escola Superior de Educação;Serviço Social;L1;45;21;116,2;24
3022;9347;Instituto Politécnico de Beja - Escola Superior de Educação;Artes Plásticas e Multimédia;L1;25;9;128,7;16
3022;9354;Instituto Politécnico de Beja - Escola Superior de Educação;Educação e Comunicação Multimédia;L1;30;10;118,1;20
3022;9563;Instituto Politécnico de Beja - Escola Superior de Educação;Desporto;L1;30;22;98,9;8
3022;9853;Instituto Politécnico de Beja - Escola Superior de Educação;Educação Básica;L1;20;15;101,9;5
3023;8437;Instituto Politécnico de Beja - Escola Superior de Tecnologia e Gestão;Solicitadoria (regime de ensino a distância);L1;20;5;95,0;15
3023;9119;Instituto Politécnico de Beja - Escola Superior de Tecnologia e Gestão;Engenharia Informática;L1;50;13;104,8;37
3023;9152;Instituto Politécnico de Beja - Escola Superior de Tecnologia e Gestão;Gestão de Empresas;L1;40;12;110,3;28
