Código da instituição;Código do curso;Nome da instituição;Nome do curso;Grau académico;Vagas Iniciais;Estudantes colocados;Nota de candidatura do último colocado pelo contingente geral;Vagas sobrantes
0300;9215;Universidade de Aveiro;Novas Tecnologias da Comunicação;L1;66;66;131,8;0
0300;9219;Universidade de Aveiro;Psicologia;L1;30;31;144,0;0
0300;9252;Universidade de Aveiro;Tradução;L1;32;32;138,6;0
0300;9254;Universidade de Aveiro;Turismo;L1;23;23;148,0;0
0300;9351;Universidade de Aveiro;Ciências Biomédicas;L1;67;67;161,8;0
0300;9359;Universidade de Aveiro;Engenharia Biomédica;MI;30;30;166,5;0
0300;9360;Universidade de Aveiro;Engenharia Civil;MI;20;11;115,4;9
0300;9361;Universidade de Aveiro;Engenharia de Computadores e Telemática;MI;76;76;138,6;0
0300;9363;Universidade de Aveiro;Engenharia de Materiais;MI;21;21;127,6;0
0300;9365;Universidade de Aveiro;Engenharia Eletrónica e Telecomunicações;MI;83;83;128,0;0
0300;9368;Universidade de Aveiro;Engenharia Física;MI;30;30;132,8;0
0300;9369;Universidade de Aveiro;Engenharia Mecânica;MI;100;100;146,5;0
0300;9461;Universidade de Aveiro;Engenharia Química;MI;40;40;122,4;0
0300;9508;Universidade de Aveiro;Engenharia do Ambiente;MI;25;20;109,4;5
0300;9853;Universidade de Aveiro;Educação Básica;L1;48;49;130,5;0
0300;G009;Universidade de Aveiro;Engenharia Computacional;MI;20;20;115,3;0
0300;L094;Universidade de Aveiro;Reabilitação do Património;L1;20;8;103,4;12
0400;8470;Universidade da Beira Interior;Engenharia Aeronáutica;MI;40;40;163,5;0
0400;9015;Universidade da Beira Interior;Bioquímica;L1;40;40;123,9;0
0400;9016;Universidade da Beira Interior;Biotecnologia;L1;45;45;117,9;0
0400;9020;Universidade da Beira Interior;Ciência Política e Relações Internacionais;L1;32;36;140,6;0
0400;9023;Universidade da Beira Interior;Ciências da Comunicação;L1;45;47;132,9;0
0400;9025;Universidade da Beira Interior;Ciências da Cultura;L1;20;15;109,2;5
0400;9048;Universidade da Beira Interior;Cinema;L1;45;46;131,7;0
0400;9071;Universidade da Beira Interior;Design de Moda;L1;50;51;127,9;0
0400;9074;Universidade da Beira Interior;Design Industrial;L1;35;31;116,2;4
0400;9075;Universidade da Beira Interior;Design Multimédia;L1;40;41;129,6;0
0400;9081;Universidade da Beira Interior;Economia;L1;45;45;129,9;0
0400;9105;Universidade da Beira Interior;Engenharia Eletromecânica;L1;30;25;110,4;5
0400;9112;Universidade da Beira Interior;Engenharia Eletrotécnica e de Computadores;L1;20;8;113,5;12
0400;9119;Universidade da Beira Interior;Engenharia Informática;L1;65;65;119,1;0
0400;9147;Universidade da Beira Interior;Gestão;L1;57;57;137,8;0
0400;9205;Universidade da Beira Interior;Marketing;L1;33;33;108,4;0
0400;9216;Universidade da Beira Interior;Optometria - Ciências da Visão;L1;35;13;110,9;22
0400;9219;Universidade da Beira Interior;Psicologia;L1;50;51;142,3;0
0400;9225;Universidade da Beira Interior;Química Industrial;L1;25;6;115,6;19
0400;9240;Universidade da Beira Interior;Sociologia;L1;36;37;114,5;0
0400;9257;Universidade da Beira Interior;Arquitetura;MI;55;45;105,0;10
0400;9351;Universidade da Beira Interior;Ciências Biomédicas;L1;55;55;139,8;0
0400;9360;Universidade da Beira Interior;Engenharia Civil;MI;25;0;;25
0400;9494;Universidade da Beira Interior;Ciências Farmacêuticas;MI;50;50;145,1;0
0400;9540;Universidade da Beira Interior;Bioengenharia;L1;20;18;115,6;2
0400;9707;Universidade da Beira Interior;Ciências do Desporto;L1;57;57;115,3;0
0400;9813;Universidade da Beira Interior;Medicina;MI;140;141;177,7;0
0400;9918;Universidade da Beira Interior;Estudos Portugueses e Espanhóis;L1;25;8;106,1;17
0400;L042;Universidade da Beira Interior;Informática Web;L1;25;8;108,7;17
0501;8408;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Química Medicinal;L1;30;30;123,5;0
0501;9011;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Biologia;L1;90;91;125,5;0
0501;9015;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Bioquímica;L1;55;56;146,0;0
0501;9104;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Engenharia e Gestão Industrial;L1;42;42;145,8;0
0501;9119;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Engenharia Informática;L1;115;116;145,0;0
0501;9141;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Física;L1;20;20;129,5;0
0501;9146;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Geologia;L1;33;18;100,0;15
0501;9209;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Matemática;L1;38;38;126,5;0
0501;9223;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Química;L1;27;23;110,5;4
0501;9257;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Arquitetura;MI;61;61;134,0;0
0501;9359;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Engenharia Biomédica;MI;59;59;171,5;0
0501;9360;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Engenharia Civil;MI;60;8;112,8;52
