NomeFaculdade;CodigoFaculdade;NomeCurso;CodigoCurso;Grau;TotalDesempregados;TotalDiplomados
Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0202;Biologia Marinha e Pescas;0057;L;9;161
Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0202;Engenharia do Ambiente;0213;L;16;184
Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0202;Oceanografia;0744;L;1;21
Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0202;Biologia e Geologia;1127;L;19;47
Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0202;Gestão e Conservação da Natureza;4452;M;2;29
Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0202;Ciências e Tecnologias do Ambiente;5185;D;1;10
Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0202;Biologia Marinha;9013;L;4;184
Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0202;Ciências do Mar;9041;L;1;15
Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0202;Engenharia do Ambiente;9099;L;3;30
Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0202;Aquacultura e Pescas;9263;M;1;8
Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0202;Biologia Marinha;9391;M;2;77
Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0202;Engenharia do Ambiente;9417;M;2;10
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Bioquímica;0063;L;5;118
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Engenharia de Sistemas e Computação;0219;L;2;48
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Engenharia de Sistemas e Informática;0340;L;3;58
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Física e Química;0381;L;19;98
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Informática;0479;L;10;72
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Informática (Ensino de);0480;L;6;71
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Informática - Gestão;0487;L;2;14
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Matemática;0559;L;35;131
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Química;0705;L;1;62
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Aquacultura e Pescas;4369;M;1;1
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Bioquímica;5063;D;1;5
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Química;5720;D;1;7
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Geomática;6803;M;1;20
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Biodiversidade e Conservação Marinha;6810;M;1;0
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Energias Renováveis e Gestão de Energia;6866;M;3;7
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Arquitectura Paisagista;6998;M;6;15
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Arquitectura Paisagista;8258;L;18;90
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Agronomia (regime pós-laboral);8419;L;3;21
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Agronomia;9003;L;5;11
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Biologia;9011;L;14;64
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Biologia Marinha;9013;L;8;75
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Bioquímica;9015;L;6;47
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Biotecnologia;9016;L;9;25
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Ciências do Mar;9041;L;2;13
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Engenharia Informática;9119;L;9;84
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Aquacultura e Pescas;9263;M;3;35
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Ciências Biomédicas;9351;L;1;43
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Engenharia Biológica;9358;M;5;23
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Engenharia Electrónica e Telecomunicações;9365;M;2;14
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Biologia Marinha;9391;M;1;38
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Engenharia do Ambiente;9417;M;1;10
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Ciências Farmacêuticas;9494;M;6;45
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Engenharia do Ambiente;9508;M;1;18
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Ciências de Engenharia Electrónica e Telecomunicações;9578;L;2;16
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Ciências de Engenharia Biológica;9592;L;2;12
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Ciências de Engenharia do Ambiente;9595;L;1;10
Universidade do Algarve - Faculdade de Ciências e Tecnologia;0203;Estudos Básicos de Ciências Farmacêuticas;9612;L;11;58
Universidade do Algarve - Faculdade de Economia;0204;Economia;0156;L;11;159
Universidade do Algarve - Faculdade de Economia;0204;Gestão de Empresas;0441;L;6;119
Universidade do Algarve - Faculdade de Economia;0204;Sociologia;0759;L;3;25
Universidade do Algarve - Faculdade de Economia;0204;Ciências Económicas e Empresariais;4061;M;1;13
Universidade do Algarve - Faculdade de Economia;0204;Finanças Empresariais;4394;M;1;10
Universidade do Algarve - Faculdade de Economia;0204;Gestão Empresarial;4431;M;3;23
Universidade do Algarve - Faculdade de Economia;0204;Contabilidade;6060;M;1;4
Universidade do Algarve - Faculdade de Economia;0204;Economia da Inovação e Empreendedorismo;6287;M;1;6
Universidade do Algarve - Faculdade de Economia;0204;Gestão de Organizações Turísticas;6310;M;1;9
Universidade do Algarve - Faculdade de Economia;0204;Gestão e Desenvolvimento de Destinos Turísticos;6312;M;1;3
Universidade do Algarve - Faculdade de Economia;0204;Economia;9081;L;32;200
Universidade do Algarve - Faculdade de Economia;0204;Gestão de Empresas;9152;L;68;359
Universidade do Algarve - Faculdade de Economia;0204;Sociologia;9240;L;24;142
Universidade do Algarve - Faculdade de Economia;0204;Gestão Empresarial;M148;M;1;15
Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;0205;Arquitectura Paisagista;0025;L;8;109
Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;0205;Engenharia Agronómica;0205;L;8;168
Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;0205;Engenharia Biotecnológica;0226;L;6;195
Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;0205;Ciências de Engenharia Biológica;9592;L;1;55
Universidade de Aveiro;0300;Administração Pública;0003;L;5;80
Universidade de Aveiro;0300;Biologia;0048;L;12;273
Universidade de Aveiro;0300;Biologia e Geologia (Ensino de);0054;L;43;191
Universidade de Aveiro;0300;Design;0136;L;22;214
Universidade de Aveiro;0300;Economia;0156;L;14;222
Universidade de Aveiro;0300;Engenharia do Ambiente;0213;L;17;279
Universidade de Aveiro;0300;Engenharia Cerâmica e do Vidro;0228;L;5;57
Universidade de Aveiro;0300;Engenharia de Computadores e Telemática;0231;L;2;70
Universidade de Aveiro;0300;Engenharia Civil;0233;L;16;238
Universidade de Aveiro;0300;Engenharia Electrónica e de Telecomunicações;0244;L;17;424
