NomeFaculdade;CodigoFaculdade;NomeCurso;CodigoCurso;Grau;CNAEF_3D_Nome;A2006_Total;A2007_Total;A2008_Total;A2009_Total;A2010_Total;A2011_Total;A2012_Total;A2013_Total;A2014_Total;A2015_Total;TotalDesempregados;Dip_2005;Dip_2006;Dip_2007;Dip_2008;Dip_2009;Dip_2010;Dip_2011;Dip_2012;Dip_2013;Dip_2014;TotalDiplomados
Universidade de Aveiro;0300;Ensino de Matemática no 3.º C. do Ensino Básico e no Secundário;6451;M;Formação de Professores de Áreas Disciplinares Específicas;0;0;0;0;0;0;1;0;0;1;2;;;;;;2;4;3;1;2;12
Universidade de Aveiro;0300;Materiais e Dispositivos Biomédicos;6621;M;Tecnologia dos Processos Químicos;0;0;0;0;0;0;1;0;2;2;5;;;;;;4;2;9;7;13;35
Universidade de Aveiro;0300;Sistemas de Informação;6686;M;Ciências Informáticas;0;0;0;0;0;0;0;1;0;1;2;;;;;;;;4;8;10;22
Universidade de Aveiro;0300;Educação Pré-Escolar e Ensino do 1.º Ciclo do Ensino Básico;6915;M;Formação de Professores do Ensino Básico (1.º e 2.º Ciclos);0;0;0;0;0;0;6;2;4;6;18;;;;;;;;42;32;27;101
Universidade de Aveiro;0300;Ensino do 1.º e do 2.º Ciclo do Ensino Básico;6925;M;Formação de Professores do Ensino Básico (1.º e 2.º Ciclos);0;0;0;0;0;0;1;2;2;3;8;;;;;;;;7;19;16;42
Universidade de Aveiro;0300;Ensino de Português no 3º C Ens Bás e Ens Sec e  Francês/Alem nos Ens B e S;6926;M;Formação de Professores de Áreas Disciplinares Específicas;0;0;0;0;0;0;0;0;2;0;2;;;;;;;;10;3;15;28
Universidade de Aveiro;0300;Ciências da Engenharia Civil;8507;L1;Construção Civil e Engenharia Civil;0;0;0;0;0;0;0;1;0;0;1;;;;;;;6;32;64;49;151
Universidade de Aveiro;0300;Administração Pública;9002;L1;Gestão e Administração;0;0;0;3;2;4;6;6;4;7;32;;;;39;36;44;56;43;41;46;305
Universidade de Aveiro;0300;Biologia;9011;L1;Biologia e Bioquímica;0;0;2;0;1;1;3;2;5;2;16;;;;30;78;30;56;36;56;52;338
Universidade de Aveiro;0300;Biologia e Geologia;9012;L1;Biologia e Bioquímica;0;0;0;0;0;1;1;0;1;1;4;;;;5;13;10;12;10;14;10;74
Universidade de Aveiro;0300;Bioquímica;9015;L1;Biologia e Bioquímica;0;0;0;1;0;1;1;3;1;2;9;;;;20;36;37;40;39;38;42;252
