SubsistemaDeEnsino;CodigoUniversidade;NomeUniversidade;CodigoCurso;NomeCurso;Grau;1ºEmp<6;1ºEmp6a12;1ºEmp>=12;NovoEmp<6;NovoEmp6a12;NovoEmp>=12;1997-1998 a 2001-2002;2002-2003;2003-2004;2004-2005;2005-2006;2006-2007;Total
Ensino superior público - universitário;0201;Faculdade de Ciências Humanas e Sociais da Universidade do Algarve;9825;Ciências Documentais e Editoriais;Licenciatura;2;;;;2;0;;;;;;
Ensino superior público - universitário;0202;Faculdade de Ciências do Mar e do Ambiente da Universidade do Algarve;0054;Biologia e Geologia (Ensino de);Licenciatura;;;1;1;2;137;29;28;28;;;222
Ensino superior público - universitário;0202;Faculdade de Ciências do Mar e do Ambiente da Universidade do Algarve;0057;Biologia Marinha e Pescas;Licenciatura;8;1;17;5;31;140;19;57;64;11;10;301
Ensino superior público - universitário;0202;Faculdade de Ciências do Mar e do Ambiente da Universidade do Algarve;0213;Engenharia do Ambiente;Licenciatura;11;1;9;2;23;129;26;44;21;30;49;299
Ensino superior público - universitário;0202;Faculdade de Ciências do Mar e do Ambiente da Universidade do Algarve;0744;Oceanografia;Licenciatura;1;1;;;2;0;;3;6;5;7;21
Ensino superior público - universitário;0202;Faculdade de Ciências do Mar e do Ambiente da Universidade do Algarve;1127;Biologia e Geologia;Licenciatura;1;;1;;2;0;;;2;27;9;38
Ensino superior público - universitário;0202;Faculdade de Ciências do Mar e do Ambiente da Universidade do Algarve;4015;Aquacultura;Mestrado;1;;;;1;12;5;;;;;17
Ensino superior público - universitário;0202;Faculdade de Ciências do Mar e do Ambiente da Universidade do Algarve;9013;Biologia Marinha;Licenciatura;;;;1;1;0;;;;;73;73
Ensino superior público - universitário;0202;Faculdade de Ciências do Mar e do Ambiente da Universidade do Algarve;9041;Ciências do Mar;Licenciatura;2;;;;2;0;;;;;4;4
Ensino superior público - universitário;0202;Faculdade de Ciências do Mar e do Ambiente da Universidade do Algarve;9099;Engenharia do Ambiente;Licenciatura;;;;1;1;0;;;;;5;5
