CodigoFaculdade;NomeFaculdade;CodigoCurso;NomeCurso;Grau;TotalDesempregados;TotalDiplomados
0110;Universidade dos Açores - Angra do Heroísmo;0198;Engenharia Agrícola;Licenciatura;3;50
0110;Universidade dos Açores - Angra do Heroísmo;0213;Engenharia do Ambiente;Licenciatura;4;140
0110;Universidade dos Açores - Angra do Heroísmo;0347;Engenharia Zootécnica;Licenciatura;2;138
0110;Universidade dos Açores - Angra do Heroísmo;0625;Educação de Infância;Licenciatura;2;244
0110;Universidade dos Açores - Angra do Heroísmo;1783;Tecnologia Agro-Alimentar;Licenciatura;1;31
0110;Universidade dos Açores - Angra do Heroísmo;9382;Guias da Natureza;Licenciatura;1;39
0130;Universidade dos Açores - Ponta Delgada;0048;Biologia;Licenciatura;7;197
0130;Universidade dos Açores - Ponta Delgada;0054;Biologia e Geologia (Ensino de);Licenciatura;4;160
0130;Universidade dos Açores - Ponta Delgada;0360;Filosofia;Licenciatura;2;71
0130;Universidade dos Açores - Ponta Delgada;0383;Física e Química (Ensino de);Licenciatura;1;104
0130;Universidade dos Açores - Ponta Delgada;0441;Gestão de Empresas;Licenciatura;2;180
0130;Universidade dos Açores - Ponta Delgada;0453;História;Licenciatura;2;116
0130;Universidade dos Açores - Ponta Delgada;0538;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Ingleses;Licenciatura;1;77
0130;Universidade dos Açores - Ponta Delgada;0560;Matemática (Ensino de);Licenciatura;1;127
0130;Universidade dos Açores - Ponta Delgada;0707;Ensino Básico - 1.º Ciclo;Licenciatura;1;259
0130;Universidade dos Açores - Ponta Delgada;0759;Sociologia;Licenciatura;1;136
0130;Universidade dos Açores - Ponta Delgada;1044;Biologia Marinha;Licenciatura;2;32
0130;Universidade dos Açores - Ponta Delgada;1200;Estudos Europeus e Política Internacional;Licenciatura;1;24
0130;Universidade dos Açores - Ponta Delgada;5244;Educação;Doutoramento;1;8
0130;Universidade dos Açores - Ponta Delgada;9011;Biologia;Licenciatura;1;46
0130;Universidade dos Açores - Ponta Delgada;9238;Serviço Social;Licenciatura;2;68
0130;Universidade dos Açores - Ponta Delgada;9240;Sociologia;Licenciatura;1;67
0130;Universidade dos Açores - Ponta Delgada;9699;Ciências Biológicas e da Saúde;Licenciatura;1;46
0130;Universidade dos Açores - Ponta Delgada;9798;Relações Públicas e Comunicação;Licenciatura;1;108
0200;Universidade do Algarve;9817;Artes Visuais;Licenciatura;9;57
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0522;Línguas e Literaturas Modernas, variante de Estudos Franceses e Espanhóis;Licenciatura;1;6
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0530;Línguas e Literaturas Modernas, variante de Estudos Portugueses;Licenciatura;18;152
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0534;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Espanhóis;Licenciatura;2;17
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0536;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Franceses;Licenciatura;8;74
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0538;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Ingleses;Licenciatura;15;180
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0695;Psicologia;Licenciatura;37;302
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0756;Património Cultural;Licenciatura;11;102
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0867;Estudos Portugueses;Licenciatura;8;91
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;1529;Línguas e Literaturas Modernas, variante de Estudos Ingleses e Espanhóis;Licenciatura;1;12
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;4078;Ciências da Educação;Mestrado;1;77
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;4296;Educação Artística;Mestrado;2;16
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;4471;Gestão Cultural;Mestrado;1;9
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;4576;Linguística;Mestrado;1;6
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;4756;Psicologia;Mestrado;2;69
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;8369;Património Cultural (Artístico, Histórico e Arqueológico);Licenciatura;1;10
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9132;Estudos Artísticos;Licenciatura;9;22
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9219;Psicologia;Licenciatura;12;102
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9787;Património Cultural;Licenciatura;5;18
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9821;Ciências da Educação e da Formação;Licenciatura;13;81
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9825;Ciências Documentais e Editoriais;Licenciatura;2;21
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;9834;Línguas e Comunicação;Licenciatura;1;19
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0054;Biologia e Geologia (Ensino de);Licenciatura;12;146
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0057;Biologia Marinha e Pescas;Licenciatura;11;207
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0213;Engenharia do Ambiente;Licenciatura;19;264
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;0744;Oceanografia;Licenciatura;2;21
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;1127;Biologia e Geologia;Licenciatura;9;47
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;4657;Estudos Marinhos e Costeiros;Mestrado;2;37
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;5240;Ecologia;Doutoramento;1;10
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;9011;Biologia;Licenciatura;2;9
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;9013;Biologia Marinha;Licenciatura;4;184
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;9099;Engenharia do Ambiente;Licenciatura;1;30
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;9391;Biologia Marinha;Mestrado;3;77
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;9417;Engenharia do Ambiente;Mestrado;1;10
0202;Universidade do Algarve - Faculdade de Ciências do Mar e do Ambiente;9595;Ciências de Engenharia do Ambiente;Licenciatura;2;10
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0063;Bioquímica;Licenciatura;4;137
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0219;Engenharia de Sistemas e Computação;Licenciatura;2;68
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0340;Engenharia de Sistemas e Informática;Licenciatura;3;58
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0381;Física e Química;Licenciatura;13;142
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0479;Informática;Licenciatura;10;72
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0480;Informática (Ensino de);Licenciatura;1;93
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0487;Informática - Gestão;Licenciatura;3;25
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0559;Matemática;Licenciatura;13;200
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;0705;Química;Licenciatura;2;64
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;4369;Aquacultura e Pescas;Mestrado;1;1
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;4547;Gestão da Água e da Costa;Mestrado;1;76
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;8258;Arquitectura Paisagista;Licenciatura;4;51
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9003;Agronomia;Licenciatura;2;7
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9015;Bioquímica;Licenciatura;6;36
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9119;Engenharia Informática;Licenciatura;1;55
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9141;Física;Licenciatura;2;3
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9358;Engenharia Biológica;Mestrado;1;6
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9365;Engenharia Electrónica e Telecomunicações;Mestrado;1;6
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9592;Ciências de Engenharia Biológica;Licenciatura;1;1
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9595;Ciências de Engenharia do Ambiente;Licenciatura;1;3
0204;Universidade do Algarve - Faculdade de Economia;0156;Economia;Licenciatura;15;239
0204;Universidade do Algarve - Faculdade de Economia;0441;Gestão de Empresas;Licenciatura;15;210
0204;Universidade do Algarve - Faculdade de Economia;0759;Sociologia;Licenciatura;6;25
0204;Universidade do Algarve - Faculdade de Economia;4061;Ciências Económicas e Empresariais;Mestrado;1;25
0204;Universidade do Algarve - Faculdade de Economia;4394;Finanças Empresariais;Mestrado;1;11
0204;Universidade do Algarve - Faculdade de Economia;4431;Gestão Empresarial;Mestrado;1;24
0204;Universidade do Algarve - Faculdade de Economia;9081;Economia;Licenciatura;15;130
0204;Universidade do Algarve - Faculdade de Economia;9152;Gestão de Empresas;Licenciatura;28;250
0204;Universidade do Algarve - Faculdade de Economia;9240;Sociologia;Licenciatura;5;101
0205;Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;0025;Arquitectura Paisagista;Licenciatura;16;109
0205;Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;0205;Engenharia Agronómica;Licenciatura;17;211
0205;Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;0226;Engenharia Biotecnológica;Licenciatura;10;256
0205;Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;9358;Engenharia Biológica;Mestrado;1;28
0205;Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;9592;Ciências de Engenharia Biológica;Licenciatura;1;55
0300;Universidade de Aveiro;0003;Administração Pública;Licenciatura;7;80
0300;Universidade de Aveiro;0048;Biologia;Licenciatura;14;353
0300;Universidade de Aveiro;0054;Biologia e Geologia (Ensino de);Licenciatura;28;272
0300;Universidade de Aveiro;0136;Design;Licenciatura;32;270
0300;Universidade de Aveiro;0156;Economia;Licenciatura;17;272
0300;Universidade de Aveiro;0213;Engenharia do Ambiente;Licenciatura;25;345
0300;Universidade de Aveiro;0228;Engenharia Cerâmica e do Vidro;Licenciatura;9;82
0300;Universidade de Aveiro;0231;Engenharia de Computadores e Telemática;Licenciatura;2;70
0300;Universidade de Aveiro;0233;Engenharia Civil;Licenciatura;14;258
0300;Universidade de Aveiro;0244;Engenharia Electrónica e de Telecomunicações;Licenciatura;14;554
0300;Universidade de Aveiro;0264;Engenharia Física;Licenciatura;2;51
0300;Universidade de Aveiro;0284;Engenharia Geológica;Licenciatura;9;64
0300;Universidade de Aveiro;0290;Engenharia e Gestão Industrial;Licenciatura;33;392
0300;Universidade de Aveiro;0302;Engenharia de Materiais;Licenciatura;5;71
0300;Universidade de Aveiro;0304;Engenharia Mecânica;Licenciatura;7;197
0300;Universidade de Aveiro;0331;Engenharia Química;Licenciatura;8;166
0300;Universidade de Aveiro;0374;Física;Licenciatura;2;20
0300;Universidade de Aveiro;0383;Física e Química (Ensino de);Licenciatura;38;237
0300;Universidade de Aveiro;0416;Gestão;Licenciatura;7;67
0300;Universidade de Aveiro;0448;Gestão e Planeamento em Turismo;Licenciatura;20;139
0300;Universidade de Aveiro;0494;Inglês e Alemão (Ensino de);Licenciatura;13;159
0300;Universidade de Aveiro;0560;Matemática (Ensino de);Licenciatura;49;315
0300;Universidade de Aveiro;0568;Matemática Aplicada e Computação;Licenciatura;14;134
0300;Universidade de Aveiro;0592;Música (Ensino de);Licenciatura;5;219
0300;Universidade de Aveiro;0596;Novas Tecnologias da Comunicação;Licenciatura;50;223
0300;Universidade de Aveiro;0623;Planeamento Regional e Urbano;Licenciatura;13;139
0300;Universidade de Aveiro;0625;Educação de Infância;Licenciatura;37;395
0300;Universidade de Aveiro;0630;Português e Francês (Ensino de);Licenciatura;18;184
0300;Universidade de Aveiro;0633;Português e Inglês (Ensino de);Licenciatura;12;198
0300;Universidade de Aveiro;0636;Português, Latim e Grego (Ensino de);Licenciatura;24;155
0300;Universidade de Aveiro;0663;Electrónica e Informática (Ensino de);Licenciatura;2;71
0300;Universidade de Aveiro;0705;Química;Licenciatura;21;223
0300;Universidade de Aveiro;0707;Ensino Básico - 1.º Ciclo;Licenciatura;59;380
0300;Universidade de Aveiro;1043;Bioquímica e Química Alimentar;Licenciatura;1;127
0300;Universidade de Aveiro;1497;Línguas e Administração Editorial;Licenciatura;1;8
0300;Universidade de Aveiro;1525;Línguas e Relações Empresariais;Licenciatura;10;134
0300;Universidade de Aveiro;1613;Línguas e Tradução Especializada;Licenciatura;1;14
0300;Universidade de Aveiro;1615;Meteorologia e Oceanografia Física;Licenciatura;1;26
0300;Universidade de Aveiro;1640;Línguas, Literaturas e Culturas;Licenciatura;3;19
0300;Universidade de Aveiro;1700;Química Industrial e Gestão;Licenciatura;4;71
0300;Universidade de Aveiro;1772;Tecnologias de Informação e Comunicação;Licenciatura;10;85
0300;Universidade de Aveiro;1776;Técnicos Superiores de Justiça;Bacharelato;1;56
0300;Universidade de Aveiro;2855;Educadores de Infância;Licenciatura;3;206
0300;Universidade de Aveiro;2857;Professores do 1.º Ciclo do Ensino Básico;Licenciatura;3;205
0300;Universidade de Aveiro;4078;Ciências da Educação;Mestrado;2;25
0300;Universidade de Aveiro;4084;Ciências das Zonas Costeiras;Mestrado;2;48
0300;Universidade de Aveiro;4159;Economia de Empresa;Mestrado;2;15
0300;Universidade de Aveiro;4198;Engenharia Electrónica e de Telecomunicações;Mestrado;4;119
0300;Universidade de Aveiro;4210;Engenharia Mecânica;Mestrado;2;26
0300;Universidade de Aveiro;4251;Comunicação e Educação em Ciências;Mestrado;1;41
0300;Universidade de Aveiro;4269;Ensino de Física;Mestrado;2;13
0300;Universidade de Aveiro;4272;Ensino de Geologia e Biologia;Mestrado;2;47
0300;Universidade de Aveiro;4274;Gestão Ambiental, Materiais e Valorização de Resíduos;Mestrado;1;27
0300;Universidade de Aveiro;4313;Estudos Clássicos;Mestrado;1;17
0300;Universidade de Aveiro;4314;Estudos Chineses;Mestrado;1;24
0300;Universidade de Aveiro;4334;Estudos Portugueses;Mestrado;1;50
0300;Universidade de Aveiro;4397;Física Aplicada;Mestrado;1;30
0300;Universidade de Aveiro;4460;Gestão e Desenvolvimento em Turismo;Mestrado;1;73
0300;Universidade de Aveiro;4491;Gestão da Informação;Mestrado;1;74
0300;Universidade de Aveiro;4623;Educação em Línguas no 1.º Ciclo do Ensino Básico;Mestrado;1;16
0300;Universidade de Aveiro;4626;Multimédia em Educação;Mestrado;1;103
0300;Universidade de Aveiro;4660;Matemática;Mestrado;2;79
0300;Universidade de Aveiro;4670;Música;Mestrado;1;48
0300;Universidade de Aveiro;4675;Métodos Biomoleculares Avançados;Mestrado;1;33
0300;Universidade de Aveiro;4741;Políticas e Gestão do Ensino Superior;Mestrado;1;29
0300;Universidade de Aveiro;4775;Química de Produtos Naturais e Alimentos;Mestrado;2;25
0300;Universidade de Aveiro;4785;Planeamento do Território - Ordenamento da Cidade;Mestrado;1;20
0300;Universidade de Aveiro;4886;Toxicologia;Mestrado;2;43
0300;Universidade de Aveiro;4970;Energia e Gestão do Ambiente;Mestrado;1;12
0300;Universidade de Aveiro;5140;Ciências da Educação;Doutoramento;1;35
0300;Universidade de Aveiro;5188;Ciências e Tecnologia da Comunicação;Doutoramento;1;16
0300;Universidade de Aveiro;6137;Gerontologia;Mestrado;2;49
0300;Universidade de Aveiro;6183;Línguas, Literaturas e Culturas;Mestrado;3;27
0300;Universidade de Aveiro;6408;Comunicação Multimédia;Mestrado;2;55
0300;Universidade de Aveiro;6432;Meteorologia e Oceanografia Física;Mestrado;1;22
0300;Universidade de Aveiro;6435;Línguas e Relações Empresariais;Mestrado;1;34
0300;Universidade de Aveiro;6449;Ensino de Biologia e de Geologia no 3.º C do Ens Básico e no Ens Secundário;Mestrado;1;5
0300;Universidade de Aveiro;6451;Ensino de Matemática no 3.º C. do Ensino Básico e no Secundário;Mestrado;1;2
0300;Universidade de Aveiro;9002;Administração Pública;Licenciatura;15;119
0300;Universidade de Aveiro;9011;Biologia;Licenciatura;9;138
0300;Universidade de Aveiro;9012;Biologia e Geologia;Licenciatura;3;28
0300;Universidade de Aveiro;9015;Bioquímica;Licenciatura;5;93
0300;Universidade de Aveiro;9016;Biotecnologia;Licenciatura;1;43
0300;Universidade de Aveiro;9069;Design;Licenciatura;8;153
0300;Universidade de Aveiro;9081;Economia;Licenciatura;17;168
0300;Universidade de Aveiro;9096;Engenharia de Materiais;Licenciatura;1;57
0300;Universidade de Aveiro;9099;Engenharia do Ambiente;Licenciatura;2;147
0300;Universidade de Aveiro;9104;Engenharia e Gestão Industrial;Licenciatura;4;238
0300;Universidade de Aveiro;9141;Física;Licenciatura;1;16
0300;Universidade de Aveiro;9147;Gestão;Licenciatura;11;124
0300;Universidade de Aveiro;9196;Línguas e Relações Empresariais;Licenciatura;6;132
0300;Universidade de Aveiro;9204;Línguas, Literaturas e Culturas;Licenciatura;1;53
0300;Universidade de Aveiro;9209;Matemática;Licenciatura;2;47
0300;Universidade de Aveiro;9212;Meteorologia, Oceanografia e Geofísica;Licenciatura;1;31
0300;Universidade de Aveiro;9214;Música;Licenciatura;1;55
0300;Universidade de Aveiro;9215;Novas Tecnologias da Comunicação;Licenciatura;13;219
0300;Universidade de Aveiro;9219;Psicologia;Licenciatura;2;33
0300;Universidade de Aveiro;9223;Química;Licenciatura;1;34
0300;Universidade de Aveiro;9250;Tecnologias de Informação e Comunicação;Licenciatura;2;36
0300;Universidade de Aveiro;9252;Tradução;Licenciatura;6;71
0300;Universidade de Aveiro;9254;Turismo;Licenciatura;7;63
0300;Universidade de Aveiro;9266;Bioquímica e Química dos Alimentos;Mestrado;1;15
0300;Universidade de Aveiro;9267;Ciência Política;Mestrado;1;9
0300;Universidade de Aveiro;9280;Economia;Mestrado;5;53
0300;Universidade de Aveiro;9295;Gestão;Mestrado;3;43
0300;Universidade de Aveiro;9316;Métodos Biomoleculares;Mestrado;1;20
0300;Universidade de Aveiro;9327;Química Analítica e Controlo de Qualidade;Mestrado;3;40
0300;Universidade de Aveiro;9335;Toxicologia e Ecotoxicologia;Mestrado;2;33
0300;Universidade de Aveiro;9361;Engenharia de Computadores e Telemática;Mestrado;2;94
0300;Universidade de Aveiro;9365;Engenharia Electrónica e Telecomunicações;Mestrado;2;300
0300;Universidade de Aveiro;9369;Engenharia Mecânica;Mestrado;2;155
0300;Universidade de Aveiro;9392;Biologia Molecular e Celular;Mestrado;1;47
0300;Universidade de Aveiro;9396;Bioquímica;Mestrado;1;5
0300;Universidade de Aveiro;9417;Engenharia do Ambiente;Mestrado;11;148
0300;Universidade de Aveiro;9420;Engenharia e Gestão Industrial;Mestrado;8;132
0300;Universidade de Aveiro;9422;Engenharia Física;Mestrado;1;39
0300;Universidade de Aveiro;9437;Matemática e Aplicações;Mestrado;1;35
