UO;UO_Nome;Curso;Curso_Nome;Grupo_Grau;Grupo_Grau_Nome;CNAEF_1D;CNAEF_1D_Nome;CNAEF_2D;CNAEF_2D_Nome;CNAEF_3D;CNAEF_3D_Nome;A1984_2004_TD_PE_6M;A2005_TD_PE_6M;A2006_TD_PE_6M;A2007_TD_PE_6M;A2008_TD_PE_6M;A2009_TD_PE_6M;A2010_TD_PE_6M;A2011_TD_PE_6M;A2012_TD_PE_6M;A2013_TD_PE_6M;A2014_TD_PE_6M;A2015_TD_PE_6M;A1984_2004_TD_PE_6_12M;A2005_TD_PE_6_12M;A2006_TD_PE_6_12M;A2007_TD_PE_6_12M;A2008_TD_PE_6_12M;A2009_TD_PE_6_12M;A2010_TD_PE_6_12M;A2011_TD_PE_6_12M;A2012_TD_PE_6_12M;A2013_TD_PE_6_12M;A2014_TD_PE_6_12M;A2015_TD_PE_6_12M;A1984_2004_TD_PE_12M;A2005_TD_PE_12M;A2006_TD_PE_12M;A2007_TD_PE_12M;A2008_TD_PE_12M;A2009_TD_PE_12M;A2010_TD_PE_12M;A2011_TD_PE_12M;A2012_TD_PE_12M;A2013_TD_PE_12M;A2014_TD_PE_12M;A2015_TD_PE_12M;A1984_2004_TD_NE_6M;A2005_TD_NE_6M;A2006_TD_NE_6M;A2007_TD_NE_6M;A2008_TD_NE_6M;A2009_TD_NE_6M;A2010_TD_NE_6M;A2011_TD_NE_6M;A2012_TD_NE_6M;A2013_TD_NE_6M;A2014_TD_NE_6M;A2015_TD_NE_6M;A1984_2004_TD_NE_6_12M;A2005_TD_NE_6_12M;A2006_TD_NE_6_12M;A2007_TD_NE_6_12M;A2008_TD_NE_6_12M;A2009_TD_NE_6_12M;A2010_TD_NE_6_12M;A2011_TD_NE_6_12M;A2012_TD_NE_6_12M;A2013_TD_NE_6_12M;A2014_TD_NE_6_12M;A2015_TD_NE_6_12M;A1984_2004_TD_NE_12M;A2005_TD_NE_12M;A2006_TD_NE_12M;A2007_TD_NE_12M;A2008_TD_NE_12M;A2009_TD_NE_12M;A2010_TD_NE_12M;A2011_TD_NE_12M;A2012_TD_NE_12M;A2013_TD_NE_12M;A2014_TD_NE_12M;A2015_TD_NE_12M;Dip_1984_2004;Dip_2005;Dip_2006;Dip_2007;Dip_2008;Dip_2009;Dip_2010;Dip_2011;Dip_2012;Dip_2013;Dip_2014;A1984_2004_Total;A2005_Total;A2006_Total;A2007_Total;A2008_Total;A2009_Total;A2010_Total;A2011_Total;A2012_Total;A2013_Total;A2014_Total;A2015_Total;A1984_2015_TOTAL
0130;Universidade dos Açores - Ponta Delgada;6129;Filosofia Contemporânea - Valores e Sociedade;M;Mestrado;200;Artes e Humanidades;220;Humanidades;226;Filosofia e Ética;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;;;;0;0;0;0;0;0;0;1;0;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;9011;Biologia;L1;Licenciatura 1.º Ciclo;400;Ciências, Matemática e Informática;520;Engenharia e Técnicas Afins;421;Biologia e Bioquímica;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;13;19;12;14;14;19;11;0;0;0;0;0;0;0;0;0;0;0;1;1
0130;Universidade dos Açores - Ponta Delgada;9011;Biologia;L1;Licenciatura 1.º Ciclo;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;13;19;12;14;14;19;11;0;0;0;0;0;0;0;0;0;0;0;1;1
0130;Universidade dos Açores - Ponta Delgada;9181;História;L1;Licenciatura 1.º Ciclo;200;Artes e Humanidades;220;Humanidades;225;História e Arqueologia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;9;;0;0;0;0;0;0;0;0;1;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;9219;Psicologia;L1;Licenciatura 1.º Ciclo;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;311;Psicologia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;30;29;29;19;31;0;0;0;0;0;0;0;0;1;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;9254;Turismo;L1;Licenciatura 1.º Ciclo;800;Serviços;810;Serviços Pessoais;812;Turismo e Lazer;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;23;35;29;23;30;0;0;0;0;0;0;0;0;1;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;9272;Ciências da Comunicação;M;Mestrado;300;Ciências Sociais, Comércio e Direito;320;Informação e Jornalismo;321;Jornalismo e Reportagem;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;;0;0;0;0;0;0;0;0;1;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;9699;Ciências Biológicas e da Saúde;L1;Licenciatura 1.º Ciclo;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;14;15;30;15;14;9;0;0;0;0;0;0;0;1;0;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;9718;Comunicação Social e Cultura;L1;Licenciatura 1.º Ciclo;300;Ciências Sociais, Comércio e Direito;320;Informação e Jornalismo;321;Jornalismo e Reportagem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;2;16;18;17;20;15;17;16;0;0;0;0;0;0;1;1;0;0;0;0;2
0130;Universidade dos Açores - Ponta Delgada;9756;Estudos Europeus e Política Internacional;L1;Licenciatura 1.º Ciclo;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;313;Ciência Política e Cidadania;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;21;13;9;9;14;13;18;17;0;0;0;0;0;0;0;1;0;1;0;1;3
0130;Universidade dos Açores - Ponta Delgada;9787;Património Cultural;L1;Licenciatura 1.º Ciclo;200;Artes e Humanidades;220;Humanidades;225;História e Arqueologia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;7;12;19;14;4;;7;0;0;0;0;0;0;0;1;0;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;9853;Educação Básica;L1;Licenciatura 1.º Ciclo;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;144;Formação de Professores do Ensino Básico (1.º e 2.º Ciclos);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;5;35;48;40;37;37;51;0;0;0;0;0;0;0;0;0;1;1;0;2
0200;Universidade do Algarve;0057;Biologia Marinha e Pescas;L;Licenciatura;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;5;;;;;;;;;;;;2;;;;;;;;;;;;313;;;;;;;;;;;13;0;0;0;0;0;0;0;0;0;0;0;13
0200;Universidade do Algarve;0063;Bioquímica;L;Licenciatura;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1
0200;Universidade do Algarve;0156;Economia;L;Licenciatura;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;314;Economia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;263;;;;;;;;;;;6;0;0;0;0;0;0;0;0;0;0;0;6
0200;Universidade do Algarve;0205;Engenharia Agronómica;L;Licenciatura;600;Agricultura;620;Agricultura, Silvicultura e Pescas;621;Produção Agrícola e Animal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;20;;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1
0200;Universidade do Algarve;0213;Engenharia do Ambiente;L;Licenciatura;800;Serviços;850;Protecção do Ambiente;851;Tecnologia de Protecção do Ambiente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;54;;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1
0200;Universidade do Algarve;0441;Gestão de Empresas;L;Licenciatura;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;1;;;;;;;;;;;;2;;;;;;;;;;;;482;;;;;;;;;;;10;0;0;0;0;0;0;0;0;0;0;0;10
0200;Universidade do Algarve;0487;Informática - Gestão;L;Licenciatura;400;Ciências, Matemática e Informática;480;Informática;481;Ciências Informáticas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93;;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1
0200;Universidade do Algarve;0536;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Franceses;L;Licenciatura;200;Artes e Humanidades;140;Formação de Professores/Formadores e Ciências da Educação;222;Línguas e Literaturas Estrangeiras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;56;;;;;;;;;;;3;0;0;0;0;0;0;0;0;0;0;0;3
0200;Universidade do Algarve;0537;Línguas e Lit. Modernas, var de Estudos Portugueses e Franceses (ensino de);L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;13;;;;;;;;;;;3;0;0;0;0;0;0;0;0;0;0;0;3
0200;Universidade do Algarve;0538;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Ingleses;L;Licenciatura;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;130;;;;;;;;;;;4;0;0;0;0;0;0;0;0;0;0;0;4
0200;Universidade do Algarve;0539;Línguas e Lit. Modernas, var. de Estudos Portugueses e Ingleses (ensino de);L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1
0200;Universidade do Algarve;0867;Estudos Portugueses;L;Licenciatura;200;Artes e Humanidades;220;Humanidades;223;Língua e Literatura Materna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;83;;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1
0200;Universidade do Algarve;4015;Aquacultura;M;Mestrado;600;Agricultura;620;Agricultura, Silvicultura e Pescas;624;Pescas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1
0200;Universidade do Algarve;5573;Ciências Biomédicas;D;Doutoramento;700;Saúde e Protecção Social;720;Saúde;721;Medicina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;4;0;0;0;0;0;0;0;0;0;0;0;1;1
0200;Universidade do Algarve;9351;Ciências Biomédicas;L1;Licenciatura 1.º Ciclo;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica;;;;;;;;;1;2;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;21;40;32;31;0;0;0;0;0;0;0;0;2;2;1;4;9
0200;Universidade do Algarve;9512;Ciências Biomédicas;M;Mestrado;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;4;7;16;18;6;16;0;0;0;0;0;0;0;0;2;1;2;0;5
0200;Universidade do Algarve;9512;Ciências Biomédicas;M;Mestrado;400;Ciências, Matemática e Informática;720;Saúde;421;Biologia e Bioquímica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;7;16;18;6;16;0;0;0;0;0;1;0;0;0;0;0;0;1
0200;Universidade do Algarve;9817;Artes Visuais;L1;Licenciatura 1.º Ciclo;200;Artes e Humanidades;210;Artes;211;Belas-Artes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;10;23;24;;1;;;0;0;0;0;1;3;3;0;0;0;0;0;7
0201;Universidade do Algarve - Faculdade de Ciências Humanas e Sociais;0524;Línguas e Literaturas Modernas, variante de Estudos Franceses e Ingleses;L;Licenciatura;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;1
