CodigoUniversidade;NomeUniversidade;CodigoCurso;NomeCurso;Grau;CodigoArea;1ºEmp<6;1ºEmp6a12;1ºEmp>=12;NovoEmp<6;NovoEmp6a12;NovoEmp>=12;TotalDesempregados;TotalDiplomados
0110;Universidade dos Açores - Angra do Heroísmo;0198;Engenharia Agrícola;Licenciatura;621;;;;3;;1;4;205
0110;Universidade dos Açores - Angra do Heroísmo;0213;Engenharia do Ambiente;Licenciatura;851;;;;3;1;1;5;159
0110;Universidade dos Açores - Angra do Heroísmo;0347;Engenharia Zootécnica;Licenciatura;621;;;;5;;;5;313
0110;Universidade dos Açores - Angra do Heroísmo;0625;Educação de Infância;Licenciatura;143;;;;2;;;2;273
0110;Universidade dos Açores - Angra do Heroísmo;1783;Tecnologia Agro-Alimentar;Licenciatura;541;;;;;;1;1;31
0110;Universidade dos Açores - Angra do Heroísmo;9382;Guias da Natureza;Licenciatura;852;1;;;;;;1;39
0130;Universidade dos Açores - Ponta Delgada;0048;Biologia;Licenciatura;421;;;;7;;2;9;271
0130;Universidade dos Açores - Ponta Delgada;0054;Biologia e Geologia (Ensino de);Licenciatura;145;;;;4;;1;5;376
0130;Universidade dos Açores - Ponta Delgada;0360;Filosofia;Licenciatura;226;1;;;1;;;2;76
0130;Universidade dos Açores - Ponta Delgada;0383;Física e Química (Ensino de);Licenciatura;145;;;;;;1;1;104
0130;Universidade dos Açores - Ponta Delgada;0441;Gestão de Empresas;Licenciatura;345;;;;2;;;2;400
0130;Universidade dos Açores - Ponta Delgada;0453;História;Licenciatura;225;;;;;1;2;3;282
0130;Universidade dos Açores - Ponta Delgada;0465;História e Filosofia (Ensino de);Licenciatura;145;;;;1;;;1;195
0130;Universidade dos Açores - Ponta Delgada;0536;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Franceses;Licenciatura;222;;;;1;;;1;36
0130;Universidade dos Açores - Ponta Delgada;0538;Línguas e Literaturas Modernas, variante de Estudos Portugueses e Ingleses;Licenciatura;222;;;;2;;1;3;177
0130;Universidade dos Açores - Ponta Delgada;0560;Matemática (Ensino de);Licenciatura;145;;;;1;;;1;276
0130;Universidade dos Açores - Ponta Delgada;0561;Matemática e Desenho (Ensino de);Licenciatura;144;;;;;;1;1;4
0130;Universidade dos Açores - Ponta Delgada;0630;Português e Francês (Ensino de);Licenciatura;145;;;;;1;;1;197
0130;Universidade dos Açores - Ponta Delgada;0633;Português e Inglês (Ensino de);Licenciatura;145;;;;1;;;1;384
0130;Universidade dos Açores - Ponta Delgada;0707;Ensino Básico - 1.º Ciclo;Licenciatura;144;;;;1;;;1;301
0130;Universidade dos Açores - Ponta Delgada;0759;Sociologia;Licenciatura;312;;;;;;1;1;147
0130;Universidade dos Açores - Ponta Delgada;1044;Biologia Marinha;Licenciatura;421;;;;2;;;2;32
0130;Universidade dos Açores - Ponta Delgada;1200;Estudos Europeus e Política Internacional;Licenciatura;313;;;;;;1;1;24
